gl_txn_id,txn_date,account_code,account_name,department,cost_center,vendor_customer,amount,dr_cr,entity,memo
GL0000023,2023-01-09,6300,G&A,Operations,CC300,Webster-Martinez,-14143.14,CR,SaaS Canada,Contractor costs
GL0000024,2023-01-20,6100,Sales and Marketing,Engineering,,"Barrett, Colon and Morris",-20246.09,cr,saas us,Google Ads
GL0000025,2023-01-26,6300,General and Administrative,Marketing,CC100,Robertson-Smith,17007.64,DR,SaaS Canada,
GL0000026,2023-01-03,6200,R&D,Finance,CC400,Orozco PLC,-20239.79,CR,saas us,Google Ads
GL0000027,2023-01-27,5000,Cost of Service,,,"Kelley, Shaw and Martinez",-15372.02,cr,SaaS Canada,AWS hosting
GL0000028,2023-01-09,6300,General and Administrative,,CC200,Poole LLC,2960.9,DR,saas us,Google Ads
GL0000029,2023-01-01,6100,sales & marketing,Operations,,Garcia-Anderson,8434.54,DR,SaaS Canada,Google Ads
GL0000030,2023-01-25,6100,sales & marketing,,,Parker-Herrera,-13910.15,CR,SaaS Canada,Payroll
GL0000031,2023-01-13,5000,cost of service,Marketing,CC200,"Lane, Williams and Castillo",7547.74,DR,saas us,
GL0000032,2023-01-01,1010,Cash,Marketing,CC300,"Hall, Sanchez and Mitchell",10470.52,DR,SaaS HoldCo,Contractor costs
GL0000033,2023-01-07,1010,Cash,Engineering,,"Williams, Schroeder and Gonzales",6936.27,DR,SaaS Canada,Contractor costs
GL0000034,2023-01-21,9999,Misc Expense,,,Smith-Reeves,19202.7,DR,saas us,Refund
GL0000035,2023-01-21,5000,cost of service,,,"Juarez, Harris and Kennedy",19076.79,DR,SaaS US,Reclass
GL0000036,2023-01-22,6200,Research and Development,,CC400,Gray-White,-13510.5,cr,SaaS Canada,Software tools
GL0000037,2023-01-09,1010,Cash,Operations,CC400,Jones Inc,13358.74,dr,saas us,Google Ads
GL0000038,2023-01-10,6100,Sales and Marketing,Engineering,,"Moreno, Bailey and Neal",12717.79,DR,SaaS US,
GL0000039,2023-01-14,9999,Misc Expense,,,"Dickerson, Sanders and Wilson",11967.53,DR,SaaS HoldCo,Google Ads
GL0000040,2023-01-12,6100,Sales and Marketing,Sales,,"Dickerson, Rice and Williams",-2353.08,CR,saas us,AWS hosting
GL0000041,2023-01-17,6300,G&A,Marketing,CC300,Campbell Inc,13176.77,dr,SaaS US,
GL0000042,2023-01-02,6200,R&D,Operations,CC300,Walker-Sutton,5143.76,DR,SaaS US,
GL0000043,2023-01-17,6200,R&D,,,Smith-Huff,-14985.32,CR,saas us,AWS hosting
GL0000044,2023-01-05,6300,G&A,Operations,CC400,Wall-Watson,4289.63,DR,SaaS HoldCo,
GL0000045,2023-01-05,5000,cost of service,Finance,CC400,"Rich, Scott and Yang",8809.37,DR,saas us,Software tools
GL0000046,2023-01-17,5000,Cost of Service,Operations,,Robertson Group,8423.03,DR,SaaS US,Contractor costs
GL0000047,2023-01-23,5000,cost of service,Marketing,,Johnston-Carson,5761.73,dr,saas us,Reclass
GL0000048,2023-01-14,6100,sales & marketing,Marketing,CC400,"Wagner, Hughes and Haynes",1439.66,DR,SaaS HoldCo,AWS hosting
GL0000049,2023-01-01,6200,Research and Development,Engineering,CC400,"Hampton, Martinez and Jones",-19997.77,,SaaS HoldCo,AWS hosting
GL0000050,2023-01-22,6300,General and Administrative,Operations,,Johnson LLC,12360.3,dr,SaaS US,Refund
GL0000051,2023-01-17,6100,S&M,Engineering,CC400,"Weber, Rodriguez and Young",-7896.49,CR,SaaS Canada,Reclass
GL0000052,2023-01-23,6100,sales & marketing,,CC400,Hill Group,-11247.19,CR,SaaS US,Software tools
GL0000053,2023-01-26,1010,Cash,Operations,CC300,"Taylor, Burke and Delacruz",4572.56,dr,SaaS US,
GL0000054,2023-01-19,6100,sales & marketing,,CC200,"West, Garcia and Colon",-16758.93,cr,SaaS US,AWS hosting
GL0000055,2023-01-01,6100,sales & marketing,,CC200,Wise-Flores,4591.28,DR,SaaS Canada,AWS hosting
GL0000056,2023-01-06,9999,Misc Expense,,CC300,Baird Ltd,-10858.65,cr,SaaS HoldCo,Reclass
GL0000057,2023-01-08,5000,cost of service,Operations,,"Edwards, Nelson and Shannon",9021.91,,SaaS US,Reclass
GL0000058,2023-01-01,6200,R&D,Finance,CC300,"Austin, Reynolds and Holmes",11212.14,DR,SaaS HoldCo,Software tools
GL0000059,2023-01-02,5000,Cost of Service,,CC400,Lester-Moreno,14116.33,DR,SaaS HoldCo,Payroll
GL0000060,2023-01-17,1010,Cash,Marketing,CC200,Deleon PLC,2924.98,dr,SaaS Canada,
GL0000061,2023-01-15,9999,Misc Expense,Operations,,Wall-Martinez,-3566.21,CR,SaaS Canada,Reclass
GL0000062,2023-01-24,1010,Cash,Marketing,,Turner and Sons,-21346.97,cr,saas us,Software tools
GL0000063,2023-01-03,6300,G&A,,CC300,"Nelson, Chen and Cannon",24907.52,DR,SaaS Canada,Reclass
GL0000064,2023-01-12,6200,Research and Development,Engineering,CC400,"Holloway, Weeks and Patterson",-18078.59,cr,saas us,
GL0000065,2023-01-18,5000,Cost of Service,Finance,,Williams LLC,11850.45,dr,SaaS HoldCo,Refund
GL0000066,2023-01-12,,Cash,,CC400,"Powers, Davis and Atkinson",-13724.65,cr,SaaS HoldCo,Google Ads
GL0000067,2023-01-13,6100,S&M,,,May-Summers,-17692.11,CR,SaaS HoldCo,Google Ads
GL0000068,2023-01-09,6200,R&D,Operations,,"Woods, Reed and Doyle",17960.67,,SaaS Canada,Payroll
GL0000069,2023-01-07,6200,R&D,Sales,CC100,Sanchez-Smith,-15145.14,CR,SaaS Canada,
GL0000070,2023-01-25,6100,S&M,Sales,,"Garcia, Nguyen and Miller",-24574.35,CR,SaaS US,Software tools
GL0000071,2023-01-06,6200,R&D,Marketing,CC100,Briggs-Thompson,-3238.24,cr,saas us,Software tools
GL0000072,2023-01-03,6100,Sales and Marketing,Sales,CC200,Higgins-Bates,-22808.63,CR,SaaS Canada,Software tools
GL0000073,2023-01-18,6100,sales & marketing,Finance,CC200,"French, Jones and Hancock",9794.96,DR,SaaS Canada,Payroll
GL0000074,2023-01-15,6200,Research and Development,Engineering,CC400,"Martin, Owens and Lopez",-24532.97,,saas us,Contractor costs
GL0000075,2023-01-20,6300,G&A,,CC200,"Morrow, Thompson and Williams",-16329.74,cr,SaaS US,Refund
GL0000076,2023-01-26,6100,sales & marketing,Sales,CC200,Harris-Stephens,14174.53,DR,saas us,Refund
GL0000077,2023-01-16,6200,R&D,Marketing,CC100,Russell-Glover,3372.79,DR,SaaS US,Software tools
GL0000078,2023-01-01,6300,G&A,Marketing,,Wright Inc,23885.73,dr,SaaS Canada,Contractor costs
GL0000079,2023-01-22,1010,Cash,Finance,CC400,Brown-Sutton,-23154.06,CR,SaaS US,Google Ads
GL0000080,2023-01-13,6100,sales & marketing,Sales,CC200,Huerta-Graham,14857.83,DR,SaaS US,Reclass
GL0000081,2023-01-17,6200,Research and Development,Sales,CC200,Peters-Daniels,-14451.36,cr,saas us,Contractor costs
GL0000082,2023-01-07,5000,cost of service,Engineering,CC200,Williams Ltd,-7490.04,CR,SaaS US,Refund
GL0000083,2023-01-06,9999,Misc Expense,Finance,,Melton PLC,9597.8,DR,SaaS HoldCo,Google Ads
GL0000084,2023-01-24,6100,Sales and Marketing,Operations,CC400,"Chambers, Gonzales and Sanchez",-22761.82,,saas us,Refund
GL0000085,2023-01-06,6100,S&M,,,Green-Rios,-19582.25,CR,SaaS HoldCo,Refund
GL0000086,2023-01-13,1010,Cash,,CC400,Wright Ltd,3190.01,DR,SaaS US,Google Ads
GL0000087,2023-01-09,6200,R&D,,CC400,Smith Group,16715.95,DR,SaaS Canada,
GL0000088,2023-01-08,6200,R&D,Marketing,,"Parrish, Parsons and Owens",-23197.18,cr,SaaS Canada,Software tools
GL0000089,2023-01-08,6200,Research and Development,Sales,,"Lewis, Baker and Chavez",9480.87,dr,SaaS Canada,Google Ads
GL0000090,2023-01-17,6100,sales & marketing,Engineering,CC400,"Moreno, Walter and Cantu",18441.77,,SaaS HoldCo,Reclass
GL0000091,2023-02-24,6200,Research and Development,,CC400,Strickland and Sons,6795.14,DR,SaaS Canada,
GL0000092,2023-02-13,6300,General and Administrative,Marketing,CC200,Lewis-Browning,14043.75,DR,SaaS HoldCo,Payroll
GL0000093,2023-02-24,6200,R&D,Engineering,CC300,Crawford-Craig,11421.68,DR,SaaS HoldCo,Software tools
GL0000094,2023-02-13,6200,Research and Development,Operations,,"Parks, Good and Contreras",-9430.68,CR,SaaS US,Software tools
GL0000095,2023-02-06,6200,Research and Development,Finance,,Maxwell LLC,24675.69,DR,SaaS HoldCo,
GL0000096,2023-02-17,,sales & marketing,Sales,CC400,Black LLC,24191.64,DR,SaaS HoldCo,Reclass
GL0000097,2023-02-11,1010,Cash,Operations,CC400,"Kramer, Mills and Thomas",-6560.82,CR,SaaS HoldCo,AWS hosting
GL0000098,2023-02-27,6300,G&A,Engineering,,"Hahn, Richardson and Peters",16157.28,DR,SaaS HoldCo,
GL0000099,2023-02-24,6100,S&M,Finance,CC300,Blake LLC,24566.03,dr,SaaS Canada,Reclass
GL0000100,2023-02-09,6100,sales & marketing,Marketing,CC100,Reyes-Mcdowell,2119.26,DR,saas us,Payroll
GL0000101,2023-02-17,5000,Cost of Service,Operations,CC300,"Macias, Haynes and Johnson",6638.3,DR,SaaS HoldCo,
GL0000102,2023-02-23,5000,Cost of Service,,CC200,"Byrd, Raymond and Rodriguez",-7543.13,CR,saas us,Reclass
GL0000103,2023-02-08,6200,R&D,Engineering,CC200,Salinas PLC,9324.57,DR,SaaS US,Refund
GL0000104,2023-02-14,6100,Sales and Marketing,Finance,CC200,Rodriguez-Goodwin,17435.09,DR,SaaS HoldCo,Reclass
GL0000105,2023-02-18,6300,General and Administrative,Operations,,Parrish-Gamble,-11046.57,cr,SaaS US,Contractor costs
GL0000106,2023-02-14,6300,G&A,Operations,CC300,Wallace Inc,15907.01,DR,SaaS Canada,Payroll
GL0000107,2023-02-26,6100,Sales and Marketing,Sales,CC200,Smith-Malone,3741.96,CR,SaaS HoldCo,AWS hosting
GL0000108,2023-02-22,6300,General and Administrative,Finance,,"Avery, Collins and Parker",-17271.88,cr,SaaS US,Refund
GL0000109,2023-02-21,6100,sales & marketing,,CC200,Leonard-Gonzalez,-4383.5,CR,SaaS Canada,AWS hosting
GL0000110,2023-02-10,6200,R&D,Sales,CC200,"Thompson, Anderson and Sutton",11495.1,dr,saas us,Payroll
GL0000111,2023-02-08,6100,Sales and Marketing,,,"Erickson, Weeks and Cochran",14714.53,DR,saas us,Payroll
GL0000112,2023-02-16,5000,Cost of Service,Marketing,,"Franco, Robinson and Richardson",-5401.99,cr,SaaS US,AWS hosting
GL0000113,2023-02-08,6200,Research and Development,Engineering,CC200,English Inc,2328.21,dr,saas us,Software tools
GL0000114,2023-02-21,5000,cost of service,,CC100,Daugherty-Garcia,17007.27,DR,SaaS HoldCo,Reclass
GL0000115,2023-02-05,5000,cost of service,Marketing,CC200,"Thompson, Fernandez and Park",21943.28,DR,saas us,Contractor costs
GL0000116,2023-02-13,6300,General and Administrative,Marketing,CC400,Fisher Ltd,-4942.33,cr,SaaS HoldCo,Payroll
GL0000117,2023-02-02,5000,Cost of Service,Engineering,,Hunt-Herman,-11989.83,CR,SaaS Canada,Payroll
GL0000118,2023-02-13,1010,Cash,Marketing,CC300,Sanders Inc,-2907.32,CR,SaaS Canada,Payroll
GL0000119,2023-02-12,6200,R&D,Marketing,CC100,Clark Inc,-10708.46,CR,SaaS US,AWS hosting
GL0000120,2023-02-04,1010,Cash,Marketing,CC400,Rodriguez-Diaz,10856.23,DR,SaaS US,AWS hosting
GL0000121,2023-02-26,6200,R&D,Operations,CC100,Williams LLC,22493.72,DR,SaaS Canada,Contractor costs
GL0000122,2023-02-09,5000,cost of service,,,Burke Inc,-18430.88,CR,SaaS Canada,Google Ads
GL0000123,2023-02-12,6100,sales & marketing,,,Ortiz and Sons,18152.24,DR,SaaS Canada,
GL0000124,2023-02-14,6300,G&A,Engineering,CC200,"Anderson, Lucas and Santiago",22667.85,DR,SaaS Canada,AWS hosting
GL0000125,2023-02-08,6100,Sales and Marketing,Operations,CC200,Martin Group,18508.24,DR,SaaS Canada,Payroll
GL0000126,2023-02-11,6100,S&M,,CC200,Young PLC,16541.98,DR,SaaS US,Google Ads
GL0000127,2023-02-05,6300,General and Administrative,,,Craig PLC,24773.57,DR,saas us,AWS hosting
GL0000128,2023-02-14,5000,cost of service,,CC400,Webb-Hunt,-13717.58,cr,SaaS Canada,
GL0000129,2023-02-06,5000,Cost of Service,,CC300,"Miller, Hale and Porter",1642.49,DR,SaaS Canada,Google Ads
GL0000130,2023-02-22,5000,Cost of Service,Sales,,Andrade Ltd,-24796.18,CR,SaaS US,AWS hosting
GL0000131,2023-02-06,6100,S&M,Operations,CC300,Soto-Wood,21917.94,DR,SaaS US,AWS hosting
GL0000132,2023-02-02,6300,General and Administrative,Engineering,CC400,Stone Ltd,-1776.29,CR,saas us,Refund
GL0000133,2023-02-23,5000,cost of service,,CC300,Reilly-Vance,21511.27,DR,SaaS US,AWS hosting
GL0000134,2023-02-10,1010,Cash,Marketing,,Walker Ltd,24371.24,DR,saas us,Google Ads
GL0000135,2023-02-13,1010,Cash,Sales,CC400,Barnett-Gordon,21983.13,DR,SaaS HoldCo,Reclass
GL0000136,2023-02-07,6100,S&M,Sales,,"Lewis, Meyer and Campbell",21755.29,DR,SaaS Canada,Google Ads
GL0000137,2023-02-16,5000,Cost of Service,Engineering,,"Morgan, Whitaker and Hoffman",-16881.3,cr,saas us,Contractor costs
GL0000138,2023-02-27,5000,Cost of Service,Finance,,"Smith, Goodman and Moss",17899.71,dr,saas us,
GL0000139,2023-02-26,1010,Cash,,CC100,"Sloan, Walker and Reed",2533.02,DR,saas us,
GL0000140,2023-02-23,6100,sales & marketing,Engineering,CC400,"Dyer, Ruiz and Jones",23555.64,DR,SaaS US,
GL0000141,2023-02-15,6100,Sales and Marketing,Finance,CC200,"Owen, Evans and Fuller",24884.12,DR,SaaS Canada,AWS hosting
GL0000142,2023-02-23,6100,sales & marketing,Engineering,,Joyce Ltd,-23660.18,DR,SaaS US,Reclass
GL0000143,2023-02-04,5000,Cost of Service,Marketing,CC300,Parks PLC,11965.47,DR,SaaS HoldCo,
GL0000144,2023-02-15,6300,General and Administrative,Operations,CC300,Craig-Summers,12339.05,CR,SaaS US,AWS hosting
GL0000145,2023-02-21,9999,Misc Expense,Operations,CC400,Ellis-Blackburn,-14376.28,cr,saas us,AWS hosting
GL0000146,2023-02-27,6100,S&M,Finance,,Allen Inc,1426.84,DR,SaaS US,
GL0000147,2023-02-08,1010,Cash,Engineering,,Rodriguez-Moyer,15623.49,DR,saas us,Reclass
GL0000148,2023-02-11,6300,General and Administrative,Operations,CC300,Jensen Ltd,-14038.67,CR,SaaS US,Refund
GL0000149,2023-02-12,9999,Misc Expense,Marketing,CC100,James-Lopez,10152.09,DR,saas us,
GL0000150,2023-02-04,6100,S&M,Finance,,Butler-Murray,-1034.04,CR,SaaS US,Google Ads
GL0000151,2023-02-10,9999,Misc Expense,Engineering,CC400,Wood-Hines,-6282.28,DR,SaaS US,AWS hosting
GL0000152,2023-02-03,6100,S&M,Marketing,CC400,Coffey and Sons,-21677.54,DR,SaaS Canada,Payroll
GL0000153,2023-02-02,6300,G&A,Marketing,,Green Ltd,-22247.18,CR,SaaS US,Payroll
GL0000154,2023-02-15,6300,General and Administrative,Finance,CC100,"Lewis, Grimes and Hall",1015.35,DR,SaaS Canada,Refund
GL0000155,2023-02-05,1010,Cash,,CC400,Watson Group,-12342.72,CR,saas us,AWS hosting
GL0000156,2023-02-15,9999,Misc Expense,Sales,,"Wolf, Knight and Jackson",12985.71,DR,SaaS Canada,Reclass
GL0000157,2023-02-08,6100,sales & marketing,Finance,CC200,Hall-Ramirez,8465.09,DR,saas us,Payroll
GL0000158,2023-02-04,5000,Cost of Service,,,"Elliott, Long and Juarez",18954.65,DR,SaaS Canada,Refund
GL0000159,2023-02-03,6300,G&A,Marketing,,Lane LLC,9165.41,DR,SaaS US,Reclass
GL0000160,2023-02-05,6300,General and Administrative,,CC200,Holt Inc,21908.09,DR,saas us,
GL0000161,2023-02-02,6300,General and Administrative,Sales,CC300,Bradley PLC,4137.29,DR,SaaS US,Payroll
GL0000162,2023-02-01,5000,Cost of Service,Sales,CC200,Rodriguez Group,-3299.33,CR,saas us,Payroll
GL0000163,2023-02-12,6200,Research and Development,Operations,CC100,Mooney-Wright,21660.88,CR,SaaS Canada,Google Ads
GL0000164,2023-02-20,5000,Cost of Service,Marketing,CC300,Barron Inc,-22103.76,cr,SaaS Canada,
GL0000165,2023-02-17,6200,Research and Development,Operations,CC300,Carroll PLC,8128.49,dr,SaaS US,AWS hosting
GL0000166,2023-02-23,1010,Cash,Finance,,"Casey, White and Mcconnell",-21094.75,cr,saas us,Refund
GL0000167,2023-02-22,5000,cost of service,Finance,,Sloan Ltd,20404.32,cr,SaaS US,Refund
GL0000168,2023-02-16,,S&M,Engineering,,"Soto, Stokes and Hayes",-11369.22,CR,SaaS US,Refund
GL0000169,2023-02-15,1010,Cash,Finance,CC100,"Turner, Brown and Carroll",-7215.96,CR,saas us,Software tools
GL0000170,2023-02-14,6100,S&M,Finance,CC400,Henderson and Sons,15375.76,DR,SaaS HoldCo,Reclass
GL0000171,2023-02-16,6300,G&A,Engineering,CC100,"Pena, Jordan and Jackson",24829.68,DR,saas us,Google Ads
GL0000172,2023-02-05,5000,Cost of Service,Operations,CC300,Cameron-Hernandez,10075.39,DR,SaaS US,Contractor costs
GL0000173,2023-02-09,6200,R&D,Sales,CC300,Patterson-Miller,5817.88,DR,saas us,Google Ads
GL0000174,2023-02-24,6100,Sales and Marketing,Operations,,"Moore, Robinson and Rodriguez",8432.33,DR,SaaS Canada,Google Ads
GL0000175,2023-02-22,9999,Misc Expense,Engineering,,Thomas Inc,-8738.59,CR,SaaS HoldCo,Google Ads
GL0000176,2023-02-19,1010,Cash,Finance,,"Cortez, Rivera and Delgado",7335.2,DR,saas us,Software tools
GL0000177,2023-02-26,5000,Cost of Service,,CC300,"Drake, Estrada and Campbell",1322.66,DR,saas us,Payroll
GL0000178,2023-02-18,5000,Cost of Service,Finance,,Wade-Davies,2157.86,DR,SaaS HoldCo,
GL0000179,2023-02-08,1010,Cash,Sales,,"Perry, Simon and Thornton",-10047.84,cr,SaaS HoldCo,Reclass
GL0000180,2023-02-17,6100,sales & marketing,Operations,,"Ponce, Peterson and Cohen",-3604.67,CR,saas us,Refund
GL0000181,2023-03-06,9999,Misc Expense,,,"Brewer, Carlson and Clark",9241.84,dr,SaaS US,Refund
GL0000182,2023-03-09,1010,Cash,Engineering,CC300,Murphy-Anderson,16607.76,DR,saas us,
GL0000183,2023-03-11,6300,G&A,,,English Group,21679.18,DR,SaaS HoldCo,
GL0000184,2023-03-11,6200,R&D,Engineering,CC400,"Stewart, Riley and Skinner",-11257.96,CR,SaaS US,Contractor costs
GL0000185,2023-03-21,6300,General and Administrative,,CC300,Austin and Sons,17974.5,DR,SaaS HoldCo,Payroll
GL0000186,2023-03-15,6300,General and Administrative,Engineering,,"Peterson, Fuentes and Reed",15028.52,DR,saas us,Google Ads
GL0000187,2023-03-19,9999,Misc Expense,,CC100,Lopez and Sons,9114.56,dr,SaaS Canada,Reclass
GL0000188,2023-03-02,1010,Cash,,CC300,Sanchez Group,10522.02,DR,saas us,Refund
GL0000189,2023-03-19,5000,Cost of Service,Operations,CC300,Mills-Pierce,3467.41,DR,SaaS HoldCo,Payroll
GL0000190,2023-03-26,1010,Cash,Engineering,CC200,"Smith, Jones and Brown",6076.02,DR,SaaS Canada,AWS hosting
GL0000191,2023-03-18,6200,Research and Development,,CC200,"Juarez, Davis and Baker",23836.7,dr,SaaS Canada,AWS hosting
GL0000192,2023-03-24,1010,Cash,Marketing,,Gray LLC,-3496.41,CR,SaaS HoldCo,Contractor costs
GL0000193,2023-03-23,6100,Sales and Marketing,,CC300,Perkins-Smith,-6202.19,CR,SaaS Canada,Google Ads
GL0000194,2023-03-16,6100,S&M,Sales,CC400,Mccormick Ltd,-20555.11,cr,SaaS Canada,Payroll
GL0000195,2023-03-25,5000,cost of service,Sales,,Mercado-Krueger,4237.0,DR,saas us,Contractor costs
GL0000196,2023-03-08,6200,Research and Development,Operations,CC100,Green-Sanders,5600.78,cr,SaaS US,Refund
GL0000197,2023-03-24,6100,S&M,,CC200,Neal LLC,14491.47,DR,SaaS HoldCo,Google Ads
GL0000198,2023-03-11,6100,sales & marketing,Sales,,"Parrish, Ramos and Lee",-14195.33,cr,SaaS HoldCo,Software tools
GL0000199,2023-03-20,5000,cost of service,Engineering,CC400,"Larsen, Reyes and Kirby",15575.79,DR,saas us,Refund
GL0000200,2023-03-26,6300,General and Administrative,Finance,,"Gonzales, Vang and Burns",16087.25,DR,saas us,Contractor costs
GL0000201,2023-03-17,5000,Cost of Service,Finance,,Schultz-White,5276.71,DR,saas us,Contractor costs
GL0000202,2023-03-16,6300,General and Administrative,Finance,CC200,Fischer Inc,-17532.8,cr,SaaS Canada,Reclass
GL0000203,2023-03-21,6100,S&M,Finance,,"Hurst, Young and Torres",-7945.14,CR,SaaS Canada,Refund
GL0000204,2023-03-11,5000,Cost of Service,Marketing,CC100,"Stein, Brown and Gomez",2063.03,dr,saas us,Google Ads
GL0000205,2023-03-07,6100,S&M,Sales,,Martin Group,13371.64,DR,SaaS Canada,AWS hosting
GL0000206,2023-03-26,6200,Research and Development,,,Rodriguez Inc,10955.94,DR,SaaS Canada,
GL0000207,2023-03-05,6100,sales & marketing,Engineering,,"Duncan, Morrison and Thomas",22282.54,dr,SaaS US,Google Ads
GL0000208,2023-03-19,6100,S&M,Marketing,CC100,Hampton LLC,24349.65,DR,SaaS Canada,Reclass
GL0000209,2023-03-19,6300,G&A,Finance,,Davis Group,-22133.98,CR,SaaS HoldCo,Payroll
GL0000210,2023-03-24,5000,Cost of Service,,CC400,Le-Brady,-8981.76,,SaaS US,Refund
GL0000211,2023-03-25,6100,Sales and Marketing,,CC100,Fisher-Phillips,24438.78,DR,saas us,Google Ads
GL0000212,2023-03-07,6300,General and Administrative,,CC400,Greene-Golden,22004.49,DR,SaaS HoldCo,
GL0000213,2023-03-03,9999,Misc Expense,Finance,CC100,"Mcfarland, West and Manning",-4085.63,CR,SaaS HoldCo,Refund
GL0000214,2023-03-23,6300,General and Administrative,,CC400,Ball Group,-12237.43,cr,SaaS US,Refund
GL0000215,2023-03-11,6100,Sales and Marketing,Sales,CC400,"Peterson, Alexander and Martinez",23224.18,DR,SaaS US,Google Ads
GL0000216,2023-03-24,6200,Research and Development,Finance,CC300,"Compton, Edwards and Mayer",2930.64,DR,SaaS US,Refund
GL0000217,2023-03-17,,Misc Expense,,CC300,Nash and Sons,-21985.29,CR,SaaS US,Google Ads
GL0000218,2023-03-04,6100,S&M,,,Nguyen PLC,-22473.14,cr,saas us,Reclass
GL0000219,2023-03-26,6200,Research and Development,,CC200,Thomas-Cisneros,11400.81,dr,SaaS Canada,Google Ads
GL0000220,2023-03-08,1010,Cash,,CC400,"Bryan, Olsen and Green",12519.59,dr,saas us,Contractor costs
GL0000221,2023-03-04,6300,G&A,Engineering,CC300,James-Wise,11358.77,dr,SaaS US,Contractor costs
GL0000222,2023-03-13,6100,Sales and Marketing,,CC100,Taylor and Sons,11920.78,DR,SaaS US,Refund
GL0000223,2023-03-17,9999,Misc Expense,Engineering,CC100,Jenkins-Atkinson,13919.9,dr,saas us,Payroll
GL0000224,2023-03-07,5000,cost of service,,CC300,Wright and Sons,17544.13,DR,SaaS US,Reclass
GL0000225,2023-03-10,6200,R&D,Engineering,CC100,Thomas Group,2563.29,dr,SaaS HoldCo,Google Ads
GL0000226,2023-03-15,6100,Sales and Marketing,Engineering,,Kennedy and Sons,16594.98,DR,SaaS HoldCo,Reclass
GL0000227,2023-03-08,,G&A,,CC400,"Lawrence, Valentine and Watts",-10483.58,CR,saas us,Payroll
GL0000228,2023-03-02,1010,Cash,,CC300,Ross LLC,-2915.95,DR,SaaS HoldCo,
GL0000229,2023-03-18,6300,General and Administrative,,CC100,Brown-Crawford,-8782.0,CR,SaaS US,Refund
GL0000230,2023-03-15,6200,R&D,Finance,CC300,Ball PLC,11997.92,DR,SaaS HoldCo,Software tools
GL0000231,2023-03-04,6300,General and Administrative,Marketing,,Brown Inc,15088.62,dr,SaaS US,
GL0000232,2023-03-26,6300,General and Administrative,Sales,CC300,Miranda-Thompson,-11275.07,,saas us,Software tools
GL0000233,2023-03-03,1010,Cash,Operations,,Smith-Gross,2815.47,DR,SaaS US,
GL0000234,2023-03-02,6100,S&M,Engineering,CC400,"Mccann, Anderson and House",-13556.27,cr,SaaS Canada,AWS hosting
GL0000235,2023-03-24,6100,Sales and Marketing,,CC300,Cox-Beard,15066.89,DR,SaaS Canada,AWS hosting
GL0000236,2023-03-07,,Sales and Marketing,Finance,CC100,"English, Archer and Calhoun",8297.69,DR,saas us,
GL0000237,2023-03-12,6300,General and Administrative,,CC100,Freeman-Davis,1758.76,dr,saas us,Payroll
