period,channel,campaign_name,spend,leads,won_customers
2023-06-01,PARTNER,PARTNER Campaign 2023-06,28155.08,412.0,16
2023-07-01,Paid Search,Paid Search Campaign 2023-07,16833.48,369.0,35
2023-07-01,LinkedIn,LinkedIn Campaign 2023-07,-27105.18,189.0,10
2023-07-01,Partner,Partner Campaign 2023-07,12178.26,218.0,34
2023-07-01,Outbound,Outbound Campaign 2023-07,23154.42,281.0,0
2023-07-01,Organic,Organic Campaign 2023-07,2857.64,106.0,25
2023-07-01,paid search,paid search Campaign 2023-07,26781.71,136.0,26
2023-07-01,PARTNER,PARTNER Campaign 2023-07,15400.92,395.0,27
2023-08-01,Paid Search,Paid Search Campaign 2023-08,15245.62,390.0,18
2023-08-01,LinkedIn,LinkedIn Campaign 2023-08,26279.76,126.0,34
2023-08-01,Partner,Partner Campaign 2023-08,6118.96,,6
2023-08-01,Outbound,Outbound Campaign 2023-08,29551.21,54.0,17
2023-08-01,Organic,Organic Campaign 2023-08,754.23,387.0,29
2023-08-01,paid search,paid search Campaign 2023-08,6797.54,457.0,9
2023-08-01,PARTNER,PARTNER Campaign 2023-08,11188.64,379.0,37
2023-09-01,Paid Search,Paid Search Campaign 2023-09,20690.46,78.0,39
2023-09-01,LinkedIn,,11808.16,419.0,22
2023-09-01,Partner,Partner Campaign 2023-09,8367.52,119.0,12
2023-09-01,Outbound,Outbound Campaign 2023-09,25299.11,413.0,7
2023-09-01,Organic,Organic Campaign 2023-09,2128.67,124.0,18
2023-09-01,paid search,,7482.44,285.0,39
2023-09-01,PARTNER,PARTNER Campaign 2023-09,7913.32,146.0,38
2023-10-01,Paid Search,Paid Search Campaign 2023-10,11320.12,296.0,19
2023-10-01,LinkedIn,LinkedIn Campaign 2023-10,-25372.58,235.0,29
2023-10-01,Partner,Partner Campaign 2023-10,12405.92,152.0,21
2023-10-01,Outbound,Outbound Campaign 2023-10,8726.26,173.0,10
2023-10-01,Organic,Organic Campaign 2023-10,501.09,366.0,14
2023-10-01,paid search,paid search Campaign 2023-10,24626.7,197.0,17
2023-10-01,PARTNER,PARTNER Campaign 2023-10,-16248.2,316.0,34
2023-11-01,Paid Search,Paid Search Campaign 2023-11,9222.05,83.0,28
2023-11-01,LinkedIn,LinkedIn Campaign 2023-11,7542.56,471.0,24
2023-11-01,Partner,Partner Campaign 2023-11,27469.93,225.0,21
2023-11-01,Outbound,,18140.4,237.0,39
2023-11-01,Organic,Organic Campaign 2023-11,752.85,,10
2023-11-01,paid search,paid search Campaign 2023-11,21366.54,431.0,9
2023-11-01,PARTNER,PARTNER Campaign 2023-11,27599.39,319.0,20
2023-12-01,Paid Search,Paid Search Campaign 2023-12,-28004.79,297.0,5
2023-12-01,LinkedIn,LinkedIn Campaign 2023-12,18892.14,344.0,6
2023-12-01,Partner,,22697.63,492.0,25
2023-12-01,Outbound,Outbound Campaign 2023-12,23061.04,105.0,11
2023-12-01,Organic,Organic Campaign 2023-12,2436.13,174.0,21
2023-12-01,paid search,paid search Campaign 2023-12,11328.73,236.0,24
2023-12-01,PARTNER,PARTNER Campaign 2023-12,6297.73,194.0,32
2024-01-01,Paid Search,Paid Search Campaign 2024-01,13920.09,75.0,34
2024-01-01,LinkedIn,LinkedIn Campaign 2024-01,21336.14,194.0,10
2024-01-01,Partner,Partner Campaign 2024-01,20046.96,,21
2024-01-01,Outbound,Outbound Campaign 2024-01,6085.75,182.0,23
2024-01-01,Organic,Organic Campaign 2024-01,782.69,261.0,23
2024-01-01,paid search,paid search Campaign 2024-01,6320.93,277.0,39
2024-01-01,PARTNER,PARTNER Campaign 2024-01,29453.79,84.0,32
2024-02-01,Paid Search,Paid Search Campaign 2024-02,7594.68,494.0,35
2024-02-01,LinkedIn,LinkedIn Campaign 2024-02,11310.11,410.0,0
2024-02-01,Partner,Partner Campaign 2024-02,9677.24,360.0,29
2024-02-01,Outbound,Outbound Campaign 2024-02,9229.03,460.0,0
2024-02-01,Organic,,1314.69,56.0,8
2024-02-01,paid search,paid search Campaign 2024-02,10148.86,141.0,7
2024-02-01,PARTNER,PARTNER Campaign 2024-02,9163.71,406.0,32
2024-03-01,Paid Search,,28735.86,230.0,31
2024-03-01,LinkedIn,LinkedIn Campaign 2024-03,5330.78,54.0,14
2024-03-01,Partner,Partner Campaign 2024-03,-18054.04,430.0,10
2024-03-01,Outbound,Outbound Campaign 2024-03,7708.5,261.0,36
2024-03-01,Organic,Organic Campaign 2024-03,2986.7,448.0,26
2024-03-01,paid search,,29259.12,122.0,11
2024-03-01,PARTNER,PARTNER Campaign 2024-03,6046.48,95.0,32
2024-04-01,Paid Search,Paid Search Campaign 2024-04,16952.48,372.0,36
2024-04-01,LinkedIn,LinkedIn Campaign 2024-04,5451.25,305.0,0
2024-04-01,Partner,Partner Campaign 2024-04,24178.97,108.0,21
2024-04-01,Outbound,Outbound Campaign 2024-04,25545.23,414.0,34
2024-04-01,Organic,Organic Campaign 2024-04,2615.01,61.0,20
2024-04-01,paid search,paid search Campaign 2024-04,25507.33,148.0,22
2024-04-01,PARTNER,,5896.89,447.0,26
2024-05-01,Paid Search,Paid Search Campaign 2024-05,26058.01,118.0,24
2024-05-01,LinkedIn,LinkedIn Campaign 2024-05,14243.91,134.0,24
2024-05-01,Partner,Partner Campaign 2024-05,9471.42,130.0,11
2024-05-01,Outbound,,20991.27,117.0,38
2024-05-01,Organic,Organic Campaign 2024-05,1285.96,294.0,19
2024-05-01,paid search,paid search Campaign 2024-05,7546.09,220.0,38
2024-05-01,PARTNER,PARTNER Campaign 2024-05,27953.9,343.0,11
2024-06-01,Paid Search,Paid Search Campaign 2024-06,25030.04,328.0,18
2024-06-01,LinkedIn,LinkedIn Campaign 2024-06,23087.78,264.0,38
2024-06-01,Partner,Partner Campaign 2024-06,24823.19,495.0,26
2024-06-01,Outbound,Outbound Campaign 2024-06,19146.13,261.0,7
2024-06-01,Organic,Organic Campaign 2024-06,650.78,450.0,20
2024-06-01,paid search,paid search Campaign 2024-06,6744.57,279.0,0
2024-06-01,PARTNER,PARTNER Campaign 2024-06,17049.18,342.0,5
2024-07-01,Paid Search,Paid Search Campaign 2024-07,27781.14,271.0,29
,LinkedIn,LinkedIn Campaign 2024-07,-16528.9,108.0,13
2024-07-01,Partner,Partner Campaign 2024-07,28404.88,194.0,13
2024-07-01,Outbound,Outbound Campaign 2024-07,13629.28,340.0,8
2024-07-01,Organic,Organic Campaign 2024-07,1388.07,348.0,27
2024-07-01,paid search,paid search Campaign 2024-07,6188.48,240.0,18
2024-07-01,PARTNER,PARTNER Campaign 2024-07,21611.01,201.0,5
2024-08-01,Paid Search,Paid Search Campaign 2024-08,28584.48,110.0,8
2024-08-01,LinkedIn,LinkedIn Campaign 2024-08,24518.65,172.0,28
2024-08-01,Partner,Partner Campaign 2024-08,29149.48,418.0,23
2024-08-01,Outbound,Outbound Campaign 2024-08,10808.84,372.0,12
,Organic,Organic Campaign 2024-08,573.93,109.0,11
2024-08-01,paid search,paid search Campaign 2024-08,26377.35,100.0,33
2024-08-01,PARTNER,PARTNER Campaign 2024-08,25664.46,252.0,36
2024-09-01,Paid Search,Paid Search Campaign 2024-09,12160.12,373.0,37
2024-09-01,LinkedIn,,14794.21,147.0,0
2024-09-01,Partner,Partner Campaign 2024-09,20413.56,57.0,7
2024-09-01,Outbound,Outbound Campaign 2024-09,12544.83,439.0,14
2024-09-01,Organic,Organic Campaign 2024-09,1419.22,465.0,26
2024-09-01,paid search,paid search Campaign 2024-09,14762.18,184.0,14
2024-09-01,PARTNER,,14719.32,333.0,18
2024-10-01,Paid Search,Paid Search Campaign 2024-10,-10238.64,367.0,27
2024-10-01,LinkedIn,LinkedIn Campaign 2024-10,-13541.1,52.0,19
2024-10-01,Partner,Partner Campaign 2024-10,13086.72,313.0,13
2024-10-01,Outbound,Outbound Campaign 2024-10,26152.99,250.0,13
2024-10-01,Organic,Organic Campaign 2024-10,2512.56,429.0,23
2024-10-01,paid search,,9579.94,442.0,24
2024-10-01,PARTNER,PARTNER Campaign 2024-10,12419.43,55.0,19
2024-11-01,Paid Search,Paid Search Campaign 2024-11,25012.34,211.0,6
2024-11-01,LinkedIn,LinkedIn Campaign 2024-11,22668.54,344.0,15
2024-11-01,Partner,Partner Campaign 2024-11,-27507.57,297.0,33
2024-11-01,Outbound,,20221.81,289.0,31
2024-11-01,Organic,Organic Campaign 2024-11,824.15,124.0,27
2024-11-01,paid search,paid search Campaign 2024-11,17848.05,413.0,30
2024-11-01,PARTNER,PARTNER Campaign 2024-11,7288.33,288.0,13
2024-12-01,Paid Search,,14633.37,181.0,39
2024-12-01,LinkedIn,LinkedIn Campaign 2024-12,9175.34,113.0,34
2024-12-01,Partner,,7368.19,283.0,9
2024-12-01,Outbound,Outbound Campaign 2024-12,26160.56,149.0,28
2024-12-01,Organic,Organic Campaign 2024-12,2895.36,421.0,24
2024-12-01,paid search,,22549.52,171.0,34
2024-12-01,PARTNER,PARTNER Campaign 2024-12,13203.71,139.0,15
2023-01-01,paid search,paid search Campaign 2023-01,27861.39,217.0,32
