gl_txn_id,txn_date,account_code,account_name,department,cost_center,vendor_customer,amount,dr_cr,entity,memo,account_category
GL0000072,2023-01-17,6300.0,g&a,Marketing,CC300,Maldonado-Mckinney,13176.77,DR,SaaS US,Unknown,G&A
GL0000073,2023-01-02,6200.0,r&d,Operations,CC300,"Novak, Scott and Rios",5143.76,DR,SaaS US,Unknown,R&D
GL0000074,2023-01-17,6200.0,r&d,Unknown,Unknown,"Beck, Cherry and Schultz",-14985.32,CR,SaaS US,AWS hosting,R&D
GL0000075,2023-01-05,6300.0,g&a,Operations,CC400,Sawyer-Conley,4289.63,DR,SaaS HoldCo,Unknown,G&A
GL0000076,2023-01-05,5000.0,cost of service,Finance,CC400,Cantu-Duffy,8809.37,DR,SaaS US,Software tools,COGS
GL0000077,2023-01-17,5000.0,cost of service,Operations,Unknown,Gilbert Group,8423.03,DR,SaaS US,Contractor costs,COGS
GL0000078,2023-01-23,5000.0,cost of service,Marketing,Unknown,"Harris, Stone and Ferrell",5761.73,DR,SaaS US,Reclass,COGS
GL0000079,2023-01-14,6100.0,sales & marketing,Marketing,CC400,Hayes-Brown,1439.66,DR,SaaS HoldCo,AWS hosting,Sales & Marketing
GL0000080,2023-01-01,6200.0,research and development,Engineering,CC400,"Bryant, Campbell and Watson",-19997.77,,SaaS HoldCo,AWS hosting,R&D
GL0000081,2023-01-22,6300.0,general and administrative,Operations,Unknown,Turner-Hanna,12360.3,DR,SaaS US,Refund,G&A
GL0000082,2023-01-17,6100.0,s&m,Engineering,CC400,Garcia PLC,-7896.49,CR,SaaS Canada,Reclass,Sales & Marketing
GL0000083,2023-01-23,6100.0,sales & marketing,Unknown,CC400,"Santiago, Jackson and Perez",-11247.19,CR,SaaS US,Software tools,Sales & Marketing
GL0000084,2023-01-26,1010.0,cash,Operations,CC300,Smith-Summers,4572.56,DR,SaaS US,Unknown,Cash
GL0000085,2023-01-19,6100.0,sales & marketing,Unknown,CC200,Davis Ltd,-16758.93,CR,SaaS US,AWS hosting,Sales & Marketing
GL0000086,2023-01-01,6100.0,sales & marketing,Unknown,CC200,Lopez-Rivera,4591.28,DR,SaaS Canada,AWS hosting,Sales & Marketing
GL0000087,2023-01-06,9999.0,misc expense,Unknown,CC300,Ward Inc,-10858.65,CR,SaaS HoldCo,Reclass,Other
GL0000088,2023-01-08,5000.0,cost of service,Operations,Unknown,Burns Inc,9021.91,,SaaS US,Reclass,COGS
GL0000089,2023-01-01,6200.0,r&d,Finance,CC300,Fuentes-Davis,11212.14,DR,SaaS HoldCo,Software tools,R&D
GL0000090,2023-01-02,5000.0,cost of service,Unknown,CC400,Smith-Novak,14116.33,DR,SaaS HoldCo,Payroll,COGS
GL0000091,2023-02-17,1010.0,cash,Marketing,CC200,"Orr, Roberts and Mitchell",2924.98,DR,SaaS Canada,Unknown,Cash
GL0000092,2023-02-15,9999.0,misc expense,Operations,Unknown,Ross and Sons,-3566.21,CR,SaaS Canada,Reclass,Other
GL0000093,2023-02-24,1010.0,cash,Marketing,Unknown,"Sloan, Miller and Ruiz",-21346.97,CR,SaaS US,Software tools,Cash
GL0000094,2023-02-03,6300.0,g&a,Unknown,CC300,Burns-Wilson,24907.52,DR,SaaS Canada,Reclass,G&A
GL0000095,2023-02-12,6200.0,research and development,Engineering,CC400,"Smith, Martin and Williams",-18078.59,CR,SaaS US,Unknown,R&D
GL0000096,2023-02-18,5000.0,cost of service,Finance,Unknown,Beck and Sons,11850.45,DR,SaaS HoldCo,Refund,COGS
GL0000097,2023-02-12,Unknown,cash,Unknown,CC400,Wong Ltd,-13724.65,CR,SaaS HoldCo,Google Ads,Cash
GL0000098,2023-02-13,6100.0,s&m,Unknown,Unknown,Huffman-Davis,-17692.11,CR,SaaS HoldCo,Google Ads,Sales & Marketing
GL0000099,2023-02-09,6200.0,r&d,Operations,Unknown,Hall LLC,17960.67,,SaaS Canada,Payroll,R&D
GL0000100,2023-02-07,6200.0,r&d,Sales,CC100,Fields and Sons,-15145.14,CR,SaaS Canada,Unknown,R&D
GL0000101,2023-02-25,6100.0,s&m,Sales,Unknown,Lawson Ltd,-24574.35,CR,SaaS US,Software tools,Sales & Marketing
GL0000102,2023-02-06,6200.0,r&d,Marketing,CC100,"Mendez, Lambert and Rodriguez",-3238.24,CR,SaaS US,Software tools,R&D
GL0000103,2023-02-03,6100.0,sales and marketing,Sales,CC200,Montgomery-Gonzales,-22808.63,CR,SaaS Canada,Software tools,Sales & Marketing
GL0000104,2023-02-18,6100.0,sales & marketing,Finance,CC200,Garcia PLC,9794.96,DR,SaaS Canada,Payroll,Sales & Marketing
GL0000105,2023-02-15,6200.0,research and development,Engineering,CC400,Tate Group,-24532.97,,SaaS US,Contractor costs,R&D
GL0000106,2023-02-20,6300.0,g&a,Unknown,CC200,Perez PLC,-16329.74,CR,SaaS US,Refund,G&A
GL0000107,2023-02-26,6100.0,sales & marketing,Sales,CC200,Castro-Hensley,14174.53,DR,SaaS US,Refund,Sales & Marketing
GL0000108,2023-02-16,6200.0,r&d,Marketing,CC100,Powell LLC,3372.79,DR,SaaS US,Software tools,R&D
GL0000109,2023-02-01,6300.0,g&a,Marketing,Unknown,Hill-Robinson,23885.73,DR,SaaS Canada,Contractor costs,G&A
GL0000110,2023-02-22,1010.0,cash,Finance,CC400,Nelson PLC,-23154.06,CR,SaaS US,Google Ads,Cash
GL0000111,2023-02-13,6100.0,sales & marketing,Sales,CC200,Reed Ltd,14857.83,DR,SaaS US,Reclass,Sales & Marketing
GL0000112,2023-02-17,6200.0,research and development,Sales,CC200,Moore LLC,-14451.36,CR,SaaS US,Contractor costs,R&D
GL0000113,2023-02-07,5000.0,cost of service,Engineering,CC200,Meyer-Monroe,-7490.04,CR,SaaS US,Refund,COGS
GL0000114,2023-02-06,9999.0,misc expense,Finance,Unknown,Diaz Group,9597.8,DR,SaaS HoldCo,Google Ads,Other
GL0000115,2023-02-24,6100.0,sales and marketing,Operations,CC400,"Lindsey, Salazar and Kemp",-22761.82,,SaaS US,Refund,Sales & Marketing
GL0000116,2023-02-06,6100.0,s&m,Unknown,Unknown,"Johnson, Underwood and Meyer",-19582.25,CR,SaaS HoldCo,Refund,Sales & Marketing
GL0000117,2023-02-13,1010.0,cash,Unknown,CC400,"Drake, Simpson and Walters",3190.01,DR,SaaS US,Google Ads,Cash
GL0000118,2023-02-09,6200.0,r&d,Unknown,CC400,"Werner, Smith and King",16715.95,DR,SaaS Canada,Unknown,R&D
GL0000119,2023-02-08,6200.0,r&d,Marketing,Unknown,Taylor Inc,-23197.18,CR,SaaS Canada,Software tools,R&D
GL0000120,2023-02-08,6200.0,research and development,Sales,Unknown,Cooley-Briggs,9480.87,DR,SaaS Canada,Google Ads,R&D
GL0000121,2023-02-17,6100.0,sales & marketing,Engineering,CC400,"Brown, Mata and Thompson",18441.77,,SaaS HoldCo,Reclass,Sales & Marketing
GL0000122,2023-02-24,6200.0,research and development,Unknown,CC400,Mooney Ltd,6795.14,DR,SaaS Canada,Unknown,R&D
GL0000123,2023-02-13,6300.0,general and administrative,Marketing,CC200,Garcia Group,14043.75,DR,SaaS HoldCo,Payroll,G&A
GL0000124,2023-02-24,6200.0,r&d,Engineering,CC300,Lutz Inc,11421.68,DR,SaaS HoldCo,Software tools,R&D
GL0000125,2023-02-13,6200.0,research and development,Operations,Unknown,"Ellis, Turner and Anderson",-9430.68,CR,SaaS US,Software tools,R&D
GL0000126,2023-02-06,6200.0,research and development,Finance,Unknown,Douglas PLC,24675.69,DR,SaaS HoldCo,Unknown,R&D
GL0000127,2023-02-17,Unknown,sales & marketing,Sales,CC400,Luna-Simpson,24191.64,DR,SaaS HoldCo,Reclass,Sales & Marketing
GL0000128,2023-02-11,1010.0,cash,Operations,CC400,Cole-Odom,-6560.82,CR,SaaS HoldCo,AWS hosting,Cash
GL0000129,2023-02-27,6300.0,g&a,Engineering,Unknown,Melendez PLC,16157.28,DR,SaaS HoldCo,Unknown,G&A
GL0000130,2023-02-24,6100.0,s&m,Finance,CC300,"White, Lopez and Stanley",24566.03,DR,SaaS Canada,Reclass,Sales & Marketing
GL0000131,2023-02-09,6100.0,sales & marketing,Marketing,CC100,Vasquez Inc,2119.26,DR,SaaS US,Payroll,Sales & Marketing
GL0000132,2023-02-17,5000.0,cost of service,Operations,CC300,Serrano Group,6638.3,DR,SaaS HoldCo,Unknown,COGS
GL0000133,2023-02-23,5000.0,cost of service,Unknown,CC200,Wheeler Ltd,-7543.13,CR,SaaS US,Reclass,COGS
GL0000134,2023-02-08,6200.0,r&d,Engineering,CC200,Clark-Cooper,9324.57,DR,SaaS US,Refund,R&D
GL0000135,2023-02-14,6100.0,sales and marketing,Finance,CC200,"Ponce, Sanchez and Jackson",17435.09,DR,SaaS HoldCo,Reclass,Sales & Marketing
GL0000136,2023-02-18,6300.0,general and administrative,Operations,Unknown,Martinez-Rush,-11046.57,CR,SaaS US,Contractor costs,G&A
GL0000137,2023-02-14,6300.0,g&a,Operations,CC300,Levine-Wolfe,15907.01,DR,SaaS Canada,Payroll,G&A
GL0000138,2023-02-26,6100.0,sales and marketing,Sales,CC200,Mcclain-Turner,3741.96,CR,SaaS HoldCo,AWS hosting,Sales & Marketing
GL0000139,2023-02-22,6300.0,general and administrative,Finance,Unknown,Bass Group,-17271.88,CR,SaaS US,Refund,G&A
GL0000140,2023-02-21,6100.0,sales & marketing,Unknown,CC200,Harris PLC,-4383.5,CR,SaaS Canada,AWS hosting,Sales & Marketing
GL0000141,2023-02-10,6200.0,r&d,Sales,CC200,Glenn Group,11495.1,DR,SaaS US,Payroll,R&D
GL0000142,2023-02-08,6100.0,sales and marketing,Unknown,Unknown,Adkins-Newton,14714.53,DR,SaaS US,Payroll,Sales & Marketing
GL0000143,2023-02-16,5000.0,cost of service,Marketing,Unknown,Taylor-Lee,-5401.99,CR,SaaS US,AWS hosting,COGS
GL0000144,2023-02-08,6200.0,research and development,Engineering,CC200,"Schmidt, Brooks and Harper",2328.21,DR,SaaS US,Software tools,R&D
GL0000145,2023-02-21,5000.0,cost of service,Unknown,CC100,Jones Ltd,17007.27,DR,SaaS HoldCo,Reclass,COGS
GL0000146,2023-02-05,5000.0,cost of service,Marketing,CC200,Chen Ltd,21943.28,DR,SaaS US,Contractor costs,COGS
GL0000147,2023-02-13,6300.0,general and administrative,Marketing,CC400,Pineda Ltd,-4942.33,CR,SaaS HoldCo,Payroll,G&A
GL0000148,2023-02-02,5000.0,cost of service,Engineering,Unknown,Gonzales LLC,-11989.83,CR,SaaS Canada,Payroll,COGS
GL0000149,2023-02-13,1010.0,cash,Marketing,CC300,Mcbride-Reid,-2907.32,CR,SaaS Canada,Payroll,Cash
GL0000150,2023-02-12,6200.0,r&d,Marketing,CC100,Fuller Ltd,-10708.46,CR,SaaS US,AWS hosting,R&D
GL0000151,2023-02-04,1010.0,cash,Marketing,CC400,"Medina, Mcdowell and Jackson",10856.23,DR,SaaS US,AWS hosting,Cash
GL0000152,2023-02-26,6200.0,r&d,Operations,CC100,"Proctor, Hayden and Jones",22493.72,DR,SaaS Canada,Contractor costs,R&D
GL0000153,2023-02-09,5000.0,cost of service,Unknown,Unknown,Oliver Group,-18430.88,CR,SaaS Canada,Google Ads,COGS
GL0000154,2023-02-12,6100.0,sales & marketing,Unknown,Unknown,"Robinson, Tapia and Mccoy",18152.24,DR,SaaS Canada,Unknown,Sales & Marketing
GL0000155,2023-02-14,6300.0,g&a,Engineering,CC200,Diaz-Clarke,22667.85,DR,SaaS Canada,AWS hosting,G&A
GL0000156,2023-02-08,6100.0,sales and marketing,Operations,CC200,Davis-Rogers,18508.24,DR,SaaS Canada,Payroll,Sales & Marketing
GL0000157,2023-02-11,6100.0,s&m,Unknown,CC200,"Huffman, Phillips and Rose",16541.98,DR,SaaS US,Google Ads,Sales & Marketing
GL0000158,2023-02-05,6300.0,general and administrative,Unknown,Unknown,Dominguez LLC,24773.57,DR,SaaS US,AWS hosting,G&A
GL0000159,2023-02-14,5000.0,cost of service,Unknown,CC400,Williams and Sons,-13717.58,CR,SaaS Canada,Unknown,COGS
GL0000160,2023-02-06,5000.0,cost of service,Unknown,CC300,Walker-King,1642.49,DR,SaaS Canada,Google Ads,COGS
GL0000161,2023-02-22,5000.0,cost of service,Sales,Unknown,Williams-Gomez,-24796.18,CR,SaaS US,AWS hosting,COGS
GL0000162,2023-02-06,6100.0,s&m,Operations,CC300,Davis Group,21917.94,DR,SaaS US,AWS hosting,Sales & Marketing
GL0000163,2023-02-02,6300.0,general and administrative,Engineering,CC400,"Washington, Garner and James",-1776.29,CR,SaaS US,Refund,G&A
GL0000164,2023-02-23,5000.0,cost of service,Unknown,CC300,Young-Rodriguez,21511.27,DR,SaaS US,AWS hosting,COGS
GL0000165,2023-02-10,1010.0,cash,Marketing,Unknown,Hanson-White,24371.24,DR,SaaS US,Google Ads,Cash
GL0000166,2023-02-13,1010.0,cash,Sales,CC400,Tate Ltd,21983.13,DR,SaaS HoldCo,Reclass,Cash
GL0000167,2023-02-07,6100.0,s&m,Sales,Unknown,Rodriguez and Sons,21755.29,DR,SaaS Canada,Google Ads,Sales & Marketing
GL0000168,2023-02-16,5000.0,cost of service,Engineering,Unknown,Cochran-Hernandez,-16881.3,CR,SaaS US,Contractor costs,COGS
GL0000169,2023-02-27,5000.0,cost of service,Finance,Unknown,Hopkins Group,17899.71,DR,SaaS US,Unknown,COGS
GL0000170,2023-02-26,1010.0,cash,Unknown,CC100,Rodriguez-Hudson,2533.02,DR,SaaS US,Unknown,Cash
GL0000171,2023-02-23,6100.0,sales & marketing,Engineering,CC400,Wong Inc,23555.64,DR,SaaS US,Unknown,Sales & Marketing
GL0000172,2023-02-15,6100.0,sales and marketing,Finance,CC200,Estrada Group,24884.12,DR,SaaS Canada,AWS hosting,Sales & Marketing
GL0000173,2023-02-23,6100.0,sales & marketing,Engineering,Unknown,"Cisneros, Thompson and Barajas",-23660.18,DR,SaaS US,Reclass,Sales & Marketing
GL0000174,2023-02-04,5000.0,cost of service,Marketing,CC300,Thornton-English,11965.47,DR,SaaS HoldCo,Unknown,COGS
GL0000175,2023-02-15,6300.0,general and administrative,Operations,CC300,"Cain, Watts and Glover",12339.05,CR,SaaS US,AWS hosting,G&A
GL0000176,2023-02-21,9999.0,misc expense,Operations,CC400,"Welch, Garrison and Moody",-14376.28,CR,SaaS US,AWS hosting,Other
GL0000177,2023-02-27,6100.0,s&m,Finance,Unknown,"Nguyen, Yang and Molina",1426.84,DR,SaaS US,Unknown,Sales & Marketing
GL0000178,2023-02-08,1010.0,cash,Engineering,Unknown,Smith-Harris,15623.49,DR,SaaS US,Reclass,Cash
GL0000179,2023-02-11,6300.0,general and administrative,Operations,CC300,"Johnson, Berry and Mccall",-14038.67,CR,SaaS US,Refund,G&A
GL0000180,2023-02-12,9999.0,misc expense,Marketing,CC100,Camacho and Sons,10152.09,DR,SaaS US,Unknown,Other
GL0000181,2023-03-04,6100.0,s&m,Finance,Unknown,"Hayes, Morris and Reilly",-1034.04,CR,SaaS US,Google Ads,Sales & Marketing
GL0000182,2023-03-10,9999.0,misc expense,Engineering,CC400,Snyder-Flores,-6282.28,DR,SaaS US,AWS hosting,Other
GL0000183,2023-03-03,6100.0,s&m,Marketing,CC400,Garcia-Rose,-21677.54,DR,SaaS Canada,Payroll,Sales & Marketing
GL0000184,2023-03-02,6300.0,g&a,Marketing,Unknown,"Mclean, Martin and Howell",-22247.18,CR,SaaS US,Payroll,G&A
GL0000185,2023-03-15,6300.0,general and administrative,Finance,CC100,Kramer and Sons,1015.35,DR,SaaS Canada,Refund,G&A
GL0000186,2023-03-05,1010.0,cash,Unknown,CC400,"Cruz, Garcia and Morris",-12342.72,CR,SaaS US,AWS hosting,Cash
GL0000187,2023-03-15,9999.0,misc expense,Sales,Unknown,"Kelley, Brady and Graham",12985.71,DR,SaaS Canada,Reclass,Other
GL0000188,2023-03-08,6100.0,sales & marketing,Finance,CC200,Pope Group,8465.09,DR,SaaS US,Payroll,Sales & Marketing
GL0000189,2023-03-04,5000.0,cost of service,Unknown,Unknown,Sexton Group,18954.65,DR,SaaS Canada,Refund,COGS
GL0000190,2023-03-03,6300.0,g&a,Marketing,Unknown,"Peterson, Green and Williamson",9165.41,DR,SaaS US,Reclass,G&A
GL0000191,2023-03-05,6300.0,general and administrative,Unknown,CC200,"Travis, Johnson and Savage",21908.09,DR,SaaS US,Unknown,G&A
GL0000192,2023-03-02,6300.0,general and administrative,Sales,CC300,"Lowe, Ramirez and Garcia",4137.29,DR,SaaS US,Payroll,G&A
GL0000193,2023-03-01,5000.0,cost of service,Sales,CC200,Hamilton Group,-3299.33,CR,SaaS US,Payroll,COGS
GL0000194,2023-03-12,6200.0,research and development,Operations,CC100,Brown LLC,21660.88,CR,SaaS Canada,Google Ads,R&D
GL0000195,2023-03-20,5000.0,cost of service,Marketing,CC300,"Williams, Lopez and Jordan",-22103.76,CR,SaaS Canada,Unknown,COGS
GL0000196,2023-03-17,6200.0,research and development,Operations,CC300,Taylor and Sons,8128.49,DR,SaaS US,AWS hosting,R&D
GL0000197,2023-03-23,1010.0,cash,Finance,Unknown,"Palmer, Kelly and Cook",-21094.75,CR,SaaS US,Refund,Cash
GL0000198,2023-03-22,5000.0,cost of service,Finance,Unknown,Young-Sanchez,20404.32,CR,SaaS US,Refund,COGS
GL0000199,2023-03-16,Unknown,s&m,Engineering,Unknown,Hunt-Chavez,-11369.22,CR,SaaS US,Refund,Sales & Marketing
GL0000200,2023-03-15,1010.0,cash,Finance,CC100,Hernandez-Miranda,-7215.96,CR,SaaS US,Software tools,Cash
GL0000201,2023-03-14,6100.0,s&m,Finance,CC400,Farrell Group,15375.76,DR,SaaS HoldCo,Reclass,Sales & Marketing
GL0000202,2023-03-16,6300.0,g&a,Engineering,CC100,Cummings-Gallagher,24829.68,DR,SaaS US,Google Ads,G&A
