customer_id,customer_name,industry,region,country,signup_date,acquisition_channel,account_status,plan_name,billing_frequency
CUST0026,Davis-Washington,Retail,APAC,Unknown,2025-01-26,Outbound,Unknown,Growth,Monthly
CUST0027,Ward-Newman,Education,EMEA,Uk,2025-05-17,Partner,Active,Growth,Monthly
CUST0028,Russell Inc,Education,APAC,India,2024-05-27,Referral,Active,Growth,Monthly
CUST0029,Robinson And Sons,Manufacturing,APAC,Singapore,2024-09-20,Paid Search,Active,Pro,Monthly
CUST0030,"Henderson, Graham And Turner",Healthcare,EMEA,Unknown,2025-02-15,Referral,Active,Basic,Monthly
CUST0031,Grant-Hall,Retail,North America,Usa,2025-04-17,Referral,Active,Growth,Monthly
CUST0032,Ray-Smith,Saas,APAC,Singapore,2024-08-05,Outbound,Paused,Basic,Annual
CUST0033,Koch Inc,Fintech,North America,Usa,2026-03-01,Referral,Active,Enterprise,Monthly
CUST0034,Watson-Cochran,Healthcare,North America,Usa,2026-03-14,Outbound,Active,Pro,Monthly
CUST0035,Lee Plc,Manufacturing,North America,Usa,2025-07-28,Referral,Churned,Pro,Annual
CUST0036,Bryan And Sons,Saas,North America,Canada,2024-10-02,Partner,Active,Basic,Annual
CUST0037,Rodriguez-Anderson,Healthcare,APAC,Singapore,2025-07-01,Referral,Churned,Pro,Annual
CUST0038,Pugh-Spencer,Fintech,APAC,Australia,2025-10-08,Paid Search,Unknown,Enterprise,Annual
CUST0039,"Wilson, Foster And Robinson",Education,North America,Canada,2025-12-22,Referral,Active,Pro,Monthly
CUST0040,Smith-Choi,Manufacturing,EMEA,Uk,2024-04-17,Partner,Active,Enterprise,Annual
CUST0041,"Parsons, Tate And Walker",Saas,Unknown,Canada,2025-03-09,Organic,Active,Basic,Annual
CUST0042,Thompson Inc,Education,North America,Canada,2024-10-19,Outbound,Unknown,Enterprise,Monthly
CUST0043,Thomas Ltd,Manufacturing,Unknown,Canada,2025-02-12,Partner,Active,Enterprise,Annual
CUST0044,Hunter-Johnson,Saas,APAC,Australia,2024-06-05,Referral,Churned,Basic,Monthly
CUST0045,Mills Plc,Education,North America,Canada,2025-04-19,Paid Search,Active,Pro,Monthly
CUST0046,"Rush, Sloan And Shaw",Unknown,EMEA,Uk,2024-10-24,Organic,Active,Basic,Monthly
CUST0047,Graham-Jones,Manufacturing,North America,Canada,2024-11-01,Referral,Active,Growth,Monthly
CUST0048,Jones-Hardin,Saas,North America,Canada,2024-06-29,Referral,Active,Basic,Annual
CUST0049,"Cunningham, Lyons And Lee",Manufacturing,North America,Usa,2025-08-19,Referral,Active,Unknown,Monthly
CUST0050,Meyers Ltd,Retail,APAC,Australia,2025-06-16,Partner,Active,Pro,Monthly
CUST0051,Hall-Vasquez,Healthcare,EMEA,Uk,2024-11-04,Organic,Churned,Growth,Monthly
CUST0052,Lowe And Sons,Unknown,EMEA,Germany,2024-11-02,Paid Search,Active,Pro,Monthly
CUST0053,Reynolds Plc,Education,EMEA,Uk,2024-05-02,Paid Search,Active,Enterprise,Annual
CUST0054,Schmitt Ltd,Saas,North America,Canada,2025-08-03,Paid Search,Active,Growth,Monthly
CUST0055,Morris-Russell,Manufacturing,EMEA,Uk,2025-05-04,Paid Search,Active,Basic,Monthly
CUST0056,Sanchez Inc,Education,EMEA,Germany,2025-07-09,Partner,Active,Basic,Monthly
CUST0057,"Garcia, Jenkins And Bautista",Saas,North America,Canada,2025-07-20,Paid Search,Active,Growth,Monthly
CUST0058,Contreras-Stafford,Saas,EMEA,Germany,2025-01-08,Paid Search,Active,Basic,Annual
CUST0059,Fox-Miller,Manufacturing,Unknown,Canada,2025-06-04,Referral,Active,Growth,Annual
CUST0060,Miller-Montgomery,Fintech,North America,Canada,2024-11-22,Organic,Active,Basic,Monthly
CUST0061,"Powell, Nolan And Smith",Retail,APAC,India,2024-08-21,Organic,Active,Pro,Monthly
CUST0062,Wallace-Lynch,Fintech,EMEA,Netherlands,2024-05-18,Paid Search,Active,Pro,Monthly
CUST0063,Anderson-Guerrero,Unknown,North America,Usa,2025-01-03,Paid Search,Active,Basic,Monthly
CUST0064,"Jimenez, Jones And Walker",Saas,EMEA,Germany,2026-02-20,Referral,Paused,Pro,Monthly
CUST0065,Garrett Ltd,Healthcare,North America,Canada,2025-12-23,Paid Search,Active,Basic,Monthly
CUST0066,"Shaw, Hansen And Davis",Unknown,APAC,Singapore,2024-07-08,Partner,Active,Enterprise,Annual
CUST0067,Nichols-Smith,Manufacturing,APAC,Singapore,2024-04-22,Paid Search,Active,Growth,Monthly
CUST0068,Farrell-White,Manufacturing,EMEA,Uk,2025-12-15,Outbound,Active,Pro,Monthly
CUST0069,Mack Group,Fintech,EMEA,Netherlands,2024-09-10,Partner,Active,Pro,Monthly
CUST0070,Stewart Inc,Education,Unknown,Usa,2025-04-15,Organic,Churned,Unknown,Annual
CUST0071,Lozano-Moore,Healthcare,EMEA,Netherlands,2026-02-18,Partner,Active,Enterprise,Annual
CUST0072,Daniel-Zimmerman,Saas,North America,Usa,2025-05-25,Referral,Active,Enterprise,Monthly
CUST0073,Shelton Llc,Fintech,North America,Canada,2025-09-28,Partner,Active,Growth,Monthly
CUST0074,"Stone, Smith And Moore",Saas,North America,Usa,2024-04-30,Paid Search,Active,Basic,Annual
CUST0075,Carney Inc,Saas,North America,Canada,2025-05-01,Paid Search,Churned,Growth,Annual
CUST0076,Robertson-Brewer,Retail,Unknown,Usa,2025-01-30,Paid Search,Active,Enterprise,Monthly
CUST0077,Mejia And Sons,Retail,EMEA,Uk,2025-12-27,Outbound,Active,Growth,Annual
CUST0078,Randolph-Smith,Manufacturing,APAC,Singapore,2024-07-18,Partner,Active,Enterprise,Monthly
CUST0079,Wright Group,Manufacturing,APAC,Singapore,2025-12-12,Paid Search,Active,Unknown,Annual
CUST0080,"Jackson, Thornton And James",Unknown,APAC,Australia,2025-04-29,Referral,Active,Basic,Monthly
CUST0081,Cooper And Sons,Healthcare,APAC,India,2024-10-19,Organic,Churned,Basic,Annual
CUST0082,"Brown, Harrison And Bell",Saas,Unknown,Usa,2024-07-04,Partner,Churned,Growth,Monthly
CUST0083,Strong Ltd,Saas,North America,Usa,2024-05-05,Organic,Active,Enterprise,Monthly
CUST0084,Abbott-Potts,Education,EMEA,Netherlands,2025-08-22,Referral,Active,Basic,Monthly
CUST0085,Ramirez-Dalton,Retail,EMEA,Germany,2025-11-29,Partner,Active,Growth,Monthly
CUST0086,"White, Herrera And Williams",Saas,North America,Canada,2026-01-26,Partner,Churned,Growth,Annual
CUST0087,Cook Group,Saas,Unknown,Canada,2025-12-15,Paid Search,Active,Growth,Annual
CUST0088,"Johnson, Harris And Phillips",Fintech,Unknown,Canada,2024-09-05,Paid Search,Unknown,Basic,Monthly
CUST0089,Scott-Schultz,Manufacturing,North America,Canada,2025-12-10,Outbound,Active,Basic,Annual
CUST0090,Walker Inc,Retail,North America,Canada,2025-01-04,Referral,Active,Enterprise,Monthly
CUST0091,"Hernandez, Craig And Garcia",Saas,North America,Canada,2026-02-25,Outbound,Paused,Enterprise,Annual
CUST0092,"Howell, Dyer And Curtis",Education,North America,Canada,2024-09-22,Organic,Active,Pro,Monthly
CUST0093,Hernandez-Mcdonald,Fintech,North America,Usa,,Referral,Paused,Basic,Monthly
CUST0094,Alvarado Llc,Unknown,EMEA,Germany,2024-04-12,Organic,Paused,Growth,Annual
CUST0095,"Maldonado, Marquez And Wheeler",Unknown,APAC,Singapore,2025-03-04,Outbound,Active,Enterprise,Monthly
CUST0096,"Stone, Lam And Brandt",Retail,EMEA,Uk,2025-06-01,Partner,Unknown,Basic,Annual
CUST0097,Roth Plc,Retail,EMEA,Netherlands,2026-03-17,Referral,Active,Basic,Monthly
CUST0098,Taylor-Palmer,Saas,APAC,Australia,2024-10-01,Paid Search,Active,Growth,Annual
CUST0099,"Robbins, Reyes And Duran",Education,EMEA,Netherlands,2024-09-23,Outbound,Paused,Basic,Monthly
CUST0100,Hunt Plc,Retail,APAC,Australia,2024-08-25,Referral,Churned,Growth,Monthly
CUST0101,Petty-Gutierrez,Fintech,EMEA,Uk,2024-04-17,Partner,Active,Basic,Monthly
CUST0102,"Smith, Ortiz And Thompson",Fintech,EMEA,Uk,2026-03-11,Partner,Active,Basic,Monthly
CUST0103,"Simmons, Day And Scott",Retail,North America,Canada,2024-10-19,Referral,Active,Enterprise,Monthly
CUST0104,"Jones, Dunn And Moore",Manufacturing,EMEA,Germany,,Organic,Active,Growth,Annual
CUST0105,"Ramos, Murphy And Alexander",Saas,APAC,India,2025-12-04,Paid Search,Paused,Enterprise,Monthly
CUST0106,Howard-Bates,Education,North America,Usa,2024-09-12,Organic,Unknown,Basic,Monthly
CUST0107,Levy Group,Saas,APAC,India,2024-08-17,Referral,Active,Basic,Monthly
CUST0108,Anderson-Rojas,Education,North America,Canada,2024-08-26,Outbound,Active,Pro,Monthly
CUST0109,"Lewis, Wilcox And Miller",Saas,North America,Canada,2026-02-09,Outbound,Paused,Enterprise,Monthly
CUST0110,Steele-Drake,Education,EMEA,Germany,2024-08-01,Outbound,Active,Basic,Monthly
CUST0111,"Edwards, Butler And Adams",Saas,EMEA,Germany,2024-12-04,Referral,Active,Growth,Monthly
CUST0112,"Johns, Chavez And Pierce",Fintech,Unknown,Usa,2024-04-24,Paid Search,Active,Growth,Monthly
CUST0113,Jones-Lee,Healthcare,Unknown,Usa,2025-07-02,Paid Search,Active,Pro,Monthly
CUST0114,"Parsons, Rice And Sanchez",Unknown,North America,Canada,2024-08-05,Referral,Active,Basic,Monthly
CUST0115,Cruz-Willis,Saas,APAC,Australia,2025-09-26,Paid Search,Paused,Enterprise,Monthly
CUST0116,Lambert Group,Unknown,EMEA,Germany,2024-12-15,Paid Search,Active,Growth,Annual
CUST0117,Thomas-Ellis,Education,North America,Usa,2026-01-11,Referral,Churned,Growth,Monthly
CUST0118,"Berry, Bishop And Phillips",Fintech,EMEA,Germany,2024-10-30,Referral,Active,Basic,Monthly
CUST0119,Escobar Group,Healthcare,APAC,Australia,2025-05-16,Partner,Active,Enterprise,Monthly
CUST0120,Hutchinson-Thomas,Fintech,EMEA,Germany,2024-04-24,Partner,Paused,Pro,Annual
CUST0121,Garza-Booth,Retail,EMEA,Netherlands,2024-08-30,Referral,Churned,Basic,Monthly
CUST0122,Smith-Fuentes,Saas,APAC,Australia,2025-11-22,Referral,Active,Growth,Annual
CUST0123,Parker Ltd,Healthcare,EMEA,Uk,2025-03-14,Outbound,Paused,Basic,Monthly
CUST0124,Stout Plc,Saas,EMEA,Uk,2024-05-21,Outbound,Active,Basic,Monthly
CUST0125,Harper Inc,Unknown,APAC,India,2024-10-17,Partner,Active,Basic,Monthly
CUST0126,Hawkins Llc,Retail,North America,Canada,2024-08-16,Referral,Unknown,Basic,Monthly
CUST0127,Levy Llc,Retail,APAC,Singapore,2026-01-25,Referral,Active,Basic,Monthly
CUST0128,"Woodward, Smith And Holder",Saas,EMEA,Netherlands,2024-05-23,Organic,Paused,Basic,Monthly
CUST0129,"Jones, Parker And Reed",Manufacturing,North America,Usa,2025-03-04,Paid Search,Paused,Enterprise,Annual
CUST0130,"Martinez, Mccarthy And Frye",Manufacturing,North America,Canada,2025-04-25,Paid Search,Active,Enterprise,Monthly
CUST0131,"Bond, Bell And Williamson",Saas,EMEA,Uk,2025-06-21,Referral,Active,Growth,Monthly
CUST0132,Leach Plc,Manufacturing,EMEA,Uk,2026-01-30,Partner,Churned,Growth,Annual
CUST0133,Salas Inc,Healthcare,North America,Usa,2025-07-03,Paid Search,Active,Enterprise,Monthly
CUST0134,"Nelson, Martinez And Johnston",Healthcare,EMEA,Netherlands,2025-11-04,Referral,Churned,Growth,Monthly
CUST0135,"Anderson, James And Harvey",Retail,Unknown,Usa,2025-12-23,Organic,Active,Basic,Annual
CUST0136,"Jenkins, Mendoza And Roach",Saas,North America,Canada,2025-07-18,Outbound,Paused,Growth,Monthly
CUST0137,Huynh-Arnold,Education,APAC,India,2025-04-24,Organic,Active,Pro,Monthly
CUST0138,Howell-Allen,Fintech,North America,Canada,2025-08-05,Organic,Active,Pro,Annual
CUST0139,Thomas-Anderson,Saas,EMEA,Germany,2024-04-11,Partner,Active,Growth,Annual
CUST0140,"Harris, Wallace And Wells",Retail,Unknown,Usa,2025-06-07,Referral,Active,Basic,Annual
CUST0141,"Stanley, Hess And Rodgers",Healthcare,Unknown,Canada,2026-01-04,Partner,Active,Growth,Monthly
CUST0142,"Washington, Velez And Mason",Education,North America,Canada,2024-11-18,Partner,Churned,Growth,Annual
CUST0143,Jones-Palmer,Manufacturing,EMEA,Germany,2025-11-05,Paid Search,Unknown,Growth,Monthly
CUST0144,"Page, Trujillo And Hatfield",Saas,EMEA,Uk,2025-07-01,Partner,Active,Pro,Monthly
CUST0145,Rodriguez And Sons,Education,EMEA,Netherlands,2025-11-16,Referral,Unknown,Growth,Monthly
CUST0146,Long-Adams,Retail,EMEA,Germany,2025-11-23,Partner,Active,Basic,Monthly
CUST0147,Mills Plc,Healthcare,APAC,India,2024-09-11,Paid Search,Active,Enterprise,Monthly
CUST0148,Perez Inc,Unknown,EMEA,Netherlands,2025-01-28,Paid Search,Active,Pro,Annual
CUST0149,"Best, Moreno And Flores",Manufacturing,APAC,Singapore,2025-10-05,Outbound,Active,Pro,Monthly
CUST0150,Martinez Llc,Healthcare,North America,Usa,2025-09-21,Outbound,Active,Basic,Monthly
CUST0151,Wilson-Russo,Unknown,APAC,Singapore,2025-02-27,Paid Search,Active,Basic,Monthly
CUST0152,"Brooks, Williams And Anderson",Healthcare,APAC,India,2024-10-13,Outbound,Active,Pro,Annual
CUST0153,Morrison Inc,Retail,EMEA,Netherlands,2025-06-07,Paid Search,Active,Basic,Monthly
CUST0154,Davis Ltd,Manufacturing,Unknown,Canada,,Referral,Active,Growth,Annual
CUST0155,Hansen Group,Education,APAC,Singapore,2024-07-03,Partner,Active,Basic,Annual
CUST0156,Ray Plc,Retail,Unknown,Canada,2025-04-03,Outbound,Active,Growth,Monthly
CUST0157,Koch Llc,Education,North America,Canada,2026-03-04,Outbound,Active,Enterprise,Monthly
CUST0158,"Sanchez, Ford And Small",Education,EMEA,Netherlands,2025-07-07,Organic,Churned,Growth,Monthly
CUST0159,Pratt-Brown,Retail,EMEA,Uk,2025-02-27,Outbound,Active,Pro,Monthly
CUST0160,Campbell And Sons,Manufacturing,APAC,India,2024-05-14,Organic,Active,Basic,Monthly
CUST0161,Jackson And Sons,Retail,North America,Canada,2024-07-27,Paid Search,Active,Growth,Monthly
CUST0162,"Yates, Brown And Fuller",Fintech,EMEA,Netherlands,2025-09-29,Paid Search,Active,Enterprise,Annual
CUST0163,"Carter, Barker And Rodgers",Fintech,North America,Usa,2025-12-14,Partner,Active,Growth,Monthly
CUST0164,"Bailey, Potter And Russell",Manufacturing,APAC,India,2024-10-30,Outbound,Active,Enterprise,Monthly
CUST0165,"Wallace, Smith And Nguyen",Fintech,APAC,Singapore,2024-11-09,Referral,Active,Enterprise,Annual
CUST0166,Moore-Vance,Unknown,EMEA,Germany,2025-08-15,Referral,Active,Growth,Annual
CUST0167,Meza Inc,Retail,North America,Usa,2025-10-27,Referral,Active,Basic,Monthly
CUST0168,George-Higgins,Manufacturing,APAC,India,,Organic,Active,Basic,Monthly
CUST0169,"Warner, Wright And Davis",Education,North America,Usa,2024-10-11,Paid Search,Active,Growth,Monthly
CUST0170,"Jones, Matthews And Thomas",Healthcare,EMEA,Germany,2026-04-02,Referral,Active,Growth,Monthly
CUST0171,"Schneider, Spence And Freeman",Healthcare,EMEA,Germany,2025-05-25,Partner,Active,Growth,Annual
CUST0172,Adams Group,Saas,EMEA,Germany,2024-10-11,Outbound,Paused,Enterprise,Monthly
CUST0173,Davidson Inc,Unknown,EMEA,Netherlands,2025-04-02,Paid Search,Active,Pro,Monthly
CUST0174,"Davis, Lindsey And Miller",Manufacturing,APAC,Australia,2025-04-04,Organic,Active,Enterprise,Monthly
CUST0175,Perez Group,Education,Unknown,Canada,2024-11-12,Paid Search,Active,Basic,Monthly
CUST0176,Gomez-Boone,Healthcare,APAC,India,2025-03-14,Organic,Active,Enterprise,Annual
CUST0177,Ford Inc,Manufacturing,APAC,Singapore,2024-11-09,Paid Search,Active,Growth,Monthly
CUST0178,Malone Inc,Unknown,EMEA,Netherlands,2024-07-11,Partner,Active,Basic,Annual
CUST0179,Sanders-Olsen,Education,APAC,India,2024-05-16,Organic,Active,Growth,Monthly
CUST0180,Hughes And Sons,Unknown,North America,Canada,2026-03-05,Referral,Active,Growth,Monthly
CUST0181,Williams-White,Retail,EMEA,Germany,2025-10-22,Organic,Active,Growth,Monthly
CUST0182,Rodriguez-Mayo,Retail,North America,Usa,2024-08-03,Organic,Active,Growth,Monthly
CUST0183,Williams-Chase,Manufacturing,APAC,Australia,2025-03-02,Referral,Active,Basic,Monthly
CUST0184,David-Huff,Healthcare,North America,Usa,2024-09-19,Referral,Active,Pro,Monthly
CUST0185,"Mcpherson, Steele And Hernandez",Healthcare,North America,Canada,2025-04-16,Organic,Active,Pro,Annual
CUST0186,"Fields, Johnson And Smith",Retail,APAC,Singapore,2026-04-01,Outbound,Active,Basic,Monthly
CUST0187,Moyer Llc,Unknown,EMEA,Netherlands,2025-06-28,Referral,Unknown,Growth,Monthly
CUST0188,Madden-Bowers,Fintech,APAC,Australia,2026-03-30,Paid Search,Unknown,Growth,Annual
CUST0189,Shepherd-Smith,Saas,APAC,Australia,2024-11-08,Outbound,Active,Enterprise,Monthly
CUST0190,Gonzales Group,Education,North America,Usa,2024-04-19,Partner,Active,Pro,Monthly
CUST0191,"Ramirez, Mcclain And Garcia",Fintech,North America,Unknown,2025-04-26,Paid Search,Active,Pro,Annual
CUST0192,"Hines, Dunn And Smith",Healthcare,EMEA,Netherlands,2024-11-28,Referral,Active,Basic,Monthly
CUST0193,Larsen-Mann,Education,Unknown,Canada,2024-08-18,Paid Search,Paused,Growth,Monthly
CUST0194,Johnson-Stewart,Manufacturing,APAC,India,2026-03-26,Organic,Churned,Basic,Monthly
CUST0195,"Jones, White And Young",Healthcare,APAC,Unknown,2024-11-28,Referral,Active,Enterprise,Monthly
CUST0196,Oneill Group,Saas,EMEA,Netherlands,,Outbound,Churned,Growth,Annual
CUST0197,Estrada Ltd,Saas,Unknown,Canada,2025-06-17,Referral,Active,Growth,Monthly
CUST0198,Barker And Sons,Education,EMEA,Germany,2025-10-19,Outbound,Active,Pro,Monthly
CUST0199,"Price, Fox And Mitchell",Unknown,EMEA,Uk,2025-01-10,Paid Search,Paused,Enterprise,Monthly
CUST0200,Velazquez Group,Healthcare,North America,Canada,2024-11-05,Outbound,Active,Enterprise,Monthly
CUST0201,Hunter Ltd,Manufacturing,EMEA,Netherlands,,Referral,Active,Pro,Annual
CUST0202,Weeks-Palmer,Fintech,North America,Canada,2025-02-04,Organic,Unknown,Basic,Monthly
CUST0203,Avila Group,Saas,APAC,Australia,2026-03-02,Paid Search,Active,Basic,Monthly
CUST0204,Wilson Ltd,Education,North America,Usa,2025-02-08,Partner,Active,Basic,Annual
CUST0205,"Martinez, Thomas And Romero",Saas,APAC,Australia,2025-09-13,Paid Search,Churned,Growth,Monthly
CUST0206,Miller-Oliver,Healthcare,North America,Canada,2025-07-05,Paid Search,Paused,Basic,Monthly
CUST0207,Calderon-Miller,Retail,APAC,Australia,2025-02-28,Paid Search,Active,Basic,Monthly
CUST0208,"Miller, Nelson And Perkins",Manufacturing,APAC,Australia,,Paid Search,Active,Growth,Monthly
CUST0209,"Brown, Castaneda And Jimenez",Saas,Unknown,Canada,2025-12-27,Partner,Paused,Basic,Monthly
CUST0210,Blackburn Group,Healthcare,Unknown,Canada,2024-05-27,Referral,Active,Basic,Monthly
CUST0211,Watson Llc,Healthcare,North America,Canada,2024-11-24,Referral,Active,Growth,Monthly
CUST0212,"Martinez, Hill And Miller",Manufacturing,EMEA,Germany,2024-06-23,Outbound,Active,Pro,Annual
CUST0213,Thomas And Sons,Education,APAC,Australia,2024-10-30,Paid Search,Unknown,Basic,Monthly
CUST0214,Mcconnell Llc,Education,Unknown,Usa,2024-08-30,Referral,Active,Growth,Monthly
CUST0215,Simmons-Baker,Manufacturing,North America,Usa,2025-01-10,Organic,Active,Growth,Monthly
CUST0216,Smith-Gonzalez,Education,EMEA,Germany,2025-02-12,Outbound,Active,Basic,Monthly
CUST0217,Harris-Rosales,Education,EMEA,Netherlands,2024-06-18,Paid Search,Unknown,Basic,Annual
CUST0218,Marshall-Peterson,Fintech,North America,Canada,2025-07-06,Referral,Active,Basic,Monthly
CUST0219,Taylor-Price,Manufacturing,APAC,Australia,2025-04-05,Outbound,Active,Pro,Annual
CUST0220,Townsend-Gonzalez,Saas,APAC,India,2025-12-21,Referral,Active,Growth,Annual
CUST0221,Richardson-Baldwin,Healthcare,North America,Unknown,2024-08-11,Organic,Active,Pro,Monthly
CUST0222,"Torres, Gardner And Rios",Manufacturing,Unknown,Canada,2026-03-01,Paid Search,Active,Enterprise,Monthly
CUST0223,Jordan-Ward,Fintech,APAC,Australia,2024-08-03,Referral,Active,Unknown,Monthly
CUST0224,Brown-Brady,Saas,Unknown,Canada,2024-07-23,Paid Search,Active,Growth,Annual
CUST0225,"Johnston, Blevins And Rich",Manufacturing,APAC,Australia,2024-06-13,Paid Search,Active,Unknown,Monthly
CUST0226,"Keith, Robinson And Mendez",Retail,Unknown,Canada,2026-01-17,Referral,Active,Enterprise,Monthly
CUST0227,Taylor Inc,Unknown,North America,Canada,2025-12-12,Referral,Active,Growth,Monthly
CUST0228,"Williams, Simmons And Brown",Healthcare,Unknown,Canada,2025-11-07,Paid Search,Active,Growth,Monthly
CUST0229,Johnson-Watson,Retail,EMEA,Germany,2026-02-20,Paid Search,Active,Pro,Monthly
CUST0230,"Lee, Thomas And Trevino",Manufacturing,North America,Canada,2025-05-14,Paid Search,Active,Basic,Monthly
CUST0231,Rojas-Wright,Retail,APAC,Australia,2025-11-13,Referral,Paused,Enterprise,Monthly
CUST0232,Valencia-Shelton,Healthcare,Unknown,Canada,2024-09-28,Paid Search,Active,Growth,Annual
CUST0233,Beasley-Hodge,Saas,EMEA,Uk,2024-09-09,Outbound,Active,Enterprise,Monthly
CUST0234,"Gomez, Carpenter And Flynn",Fintech,North America,Canada,2024-11-03,Organic,Paused,Growth,Monthly
CUST0235,Lee-Bryan,Healthcare,EMEA,Uk,2025-03-27,Paid Search,Active,Growth,Monthly
CUST0236,"Morgan, Brown And Baldwin",Education,APAC,Singapore,2024-09-26,Organic,Active,Pro,Annual
CUST0237,Cox Ltd,Saas,APAC,Singapore,2025-12-16,Organic,Active,Growth,Monthly
CUST0238,Golden-Sloan,Saas,APAC,Australia,2026-01-03,Referral,Active,Enterprise,Monthly
CUST0239,Willis-Garcia,Unknown,EMEA,Unknown,2025-10-29,Organic,Active,Enterprise,Annual
CUST0240,Morrow-Freeman,Saas,APAC,Australia,2024-08-31,Referral,Active,Growth,Monthly
CUST0241,Welch Plc,Healthcare,EMEA,Germany,2025-12-07,Paid Search,Active,Basic,Monthly
CUST0242,"Harris, Adkins And Wells",Retail,APAC,Australia,2025-09-28,Paid Search,Active,Growth,Monthly
CUST0243,Perez-Bell,Saas,Unknown,Canada,2025-06-16,Paid Search,Active,Basic,Annual
CUST0244,Morgan Llc,Manufacturing,APAC,India,2026-03-01,Paid Search,Active,Pro,Monthly
CUST0245,Smith-Vega,Education,EMEA,Germany,2026-03-14,Paid Search,Active,Pro,Monthly
CUST0246,"Mitchell, Williams And Mata",Manufacturing,EMEA,Uk,2024-07-05,Outbound,Unknown,Basic,Monthly
CUST0247,"Wolfe, Schneider And Yoder",Retail,Unknown,Usa,2025-10-07,Partner,Churned,Growth,Monthly
CUST0248,Wallace And Sons,Manufacturing,EMEA,Germany,2024-08-05,Organic,Unknown,Pro,Monthly
CUST0249,Brown Plc,Healthcare,North America,Canada,2024-11-20,Partner,Paused,Enterprise,Monthly
CUST0250,"Williamson, Cantrell And Ford",Healthcare,North America,Usa,2025-08-09,Organic,Active,Basic,Annual
CUST0251,Austin Plc,Manufacturing,APAC,India,2026-01-21,Partner,Active,Enterprise,Annual
CUST0252,"Butler, Paul And Bennett",Retail,North America,Usa,2025-01-11,Paid Search,Active,Enterprise,Monthly
CUST0253,Aguilar Inc,Fintech,North America,Canada,2025-07-26,Outbound,Active,Basic,Annual
CUST0254,Oneill-Steele,Retail,Unknown,Canada,2025-12-07,Referral,Paused,Growth,Monthly
CUST0255,"Coffey, Payne And Garcia",Education,North America,Usa,2024-12-28,Partner,Active,Growth,Monthly
CUST0256,Bailey-Williams,Healthcare,EMEA,Germany,2025-06-10,Paid Search,Paused,Pro,Monthly
CUST0257,"Ross, Hopkins And Fox",Education,North America,Canada,2025-01-07,Partner,Active,Growth,Monthly
CUST0258,Newman Inc,Education,EMEA,Germany,2025-12-30,Paid Search,Churned,Pro,Annual
CUST0259,Montes Llc,Fintech,Unknown,Canada,2024-11-20,Partner,Active,Pro,Annual
CUST0260,West And Sons,Fintech,APAC,Australia,2025-09-20,Organic,Churned,Basic,Annual
