period,revenue,new_customers,new_arr_booked,customer_signups,COGS,Cash,G&A,Other,R&D,Sales & Marketing,total_marketing_spend,marketing_won_customers,leads,cac,ending_cash,active_customers,churned_customers,churn_pct,gross_margin,burn_rate,runway_months,arr_growth_pct,arpu,ltv,ltv_cac
2025-09-01,23152.73,8.0,204683.28,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181,2.0,0.011049723756906077,1.0,-23152.73,,1.1254118256899481,127.91563535911602,11576.365,
2025-10-01,19224.56,10.0,114779.16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,1.0,0.005319148936170213,1.0,-19224.56,,-0.4392352907379635,102.25829787234044,19224.56,
2025-11-01,27386.86,13.0,125167.31999999999,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,0.0,0.0,1.0,-27386.86,,0.0905056283736525,140.4454358974359,,
2025-12-01,23466.13,15.0,231084.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,4.0,0.01932367149758454,1.0,-23466.13,,0.8462055431082172,113.36294685990339,5866.5325,
2026-01-01,23564.12,12.0,181436.88,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218,0.0,0.0,1.0,-23564.12,,-0.21484651075839756,108.09229357798165,,
2026-02-01,32838.74,13.0,237984.96000000002,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,1.0,0.004484304932735426,1.0,-32838.74,,0.3116680577840625,147.25892376681614,32838.74,
2026-03-01,22070.78,6.0,48813.36,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,2.0,0.008620689655172414,1.0,-22070.78,,-0.7948888870960585,95.1326724137931,11035.39,
2026-04-01,20609.27,3.0,14077.92,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238,0.0,0.0,1.0,-20609.27,,-0.7115969890210385,86.59357142857144,,
2026-05-01,15540.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,4.0,0.016597510373443983,1.0,-15540.45,,-1.0,64.48319502074689,3885.1125,
2026-06-01,18682.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,1.0,0.004149377593360996,1.0,-18682.84,,,77.52215767634854,18682.84,
2026-07-01,8796.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,2.0,0.008298755186721992,1.0,-8796.03,,,36.49804979253112,4398.015,
2026-08-01,12308.539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,1.0,0.004149377593360996,1.0,-12308.539999999999,,,51.07278008298755,12308.539999999999,
2026-09-01,12078.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,1.0,0.004149377593360996,1.0,-12078.05,,,50.11639004149377,12078.05,
2026-10-01,12073.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,1.0,0.004149377593360996,1.0,-12073.29,,,50.09663900414938,12073.29,
2026-11-01,-1616.5899999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,2.0,0.008298755186721992,1.0,1616.5899999999997,0.0,,-6.707842323651451,-808.2949999999998,
2026-12-01,6610.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,2.0,0.008298755186721992,1.0,-6610.96,,,27.43136929460581,3305.48,
2027-01-01,1883.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,1.0,0.004149377593360996,1.0,-1883.79,,,7.81655601659751,1883.79,
2027-02-01,1265.6999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,0.0,0.0,1.0,-1265.6999999999998,,,5.2518672199170116,,
2027-03-01,2695.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,2.0,0.008298755186721992,1.0,-2695.85,,,11.186099585062241,1347.925,
2027-04-01,294.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,2.0,0.008298755186721992,1.0,-294.95,,,1.2238589211618256,147.475,
