period,revenue,new_customers,new_arr_booked,cogs,sales_marketing,rnd,ga,total_marketing_spend,leads,marketing_won_customers,cac,ending_cash,active_customers,churned_customers,churn_pct,gross_margin,burn_rate,runway_months,arpu,ltv,ltv_cac,prior_month_arr,arr_growth_pct
2024-07-01,45859.84999999999,13,162499.19999999998,26834.72,60824.490000000005,19484.230000000003,95907.51999999999,87531.38,1908.0,138.0,634.2853623188406,1982340.72,46,0,0.0,0.4148537337126047,157191.11,12.611023104296422,996.953260869565,,,272941.32,-0.4046368648030281
2024-08-01,55218.44999999999,10,125685.72,84427.27,159992.09,-78927.06,22848.310000000005,121370.79000000001,1966.0,155.0,783.0373548387097,1809809.9,56,0,0.0,-0.5289684878876538,133122.16,13.595106179166564,986.0437499999998,,,162499.19999999998,-0.22654560760914505
2024-09-01,65847.62999999999,13,245236.92,94143.67999999998,14113.940000000002,141320.09000000003,26160.59,95986.04999999999,1457.0,183.0,524.5139344262294,1665196.14,63,1,0.015873015873015872,-0.429720097746874,209890.66999999998,7.933635830501661,1045.2004761904761,-28296.049999999992,-53.9471845127495,125685.72,0.9511915912165679
2024-10-01,76545.20999999999,12,228139.80000000002,107707.12999999999,147898.59000000003,30460.309999999998,71062.48,66799.65,2218.0,85.0,785.8782352941175,1752594.23,73,0,0.0,-0.4071047685413627,280583.30000000005,6.246252824027659,1048.564520547945,,,245236.92,-0.06971674574937572
2024-11-01,89719.35000000002,10,120259.91999999998,72290.42,71630.09999999999,-19228.850000000006,-15558.869999999999,72560.59,1900.0,135.0,537.4858518518519,1866179.09,80,0,0.0,0.1942605469165795,19413.449999999968,96.12815290430105,1121.4918750000002,,,228139.80000000002,-0.47286742602562126
2024-12-01,103625.32999999994,16,228835.32,-10289.45,15119.710000000001,202171.19999999998,71714.55999999998,111529.32,2254.0,166.0,671.8633734939759,1908661.42,90,0,0.0,1.0992947380722455,175090.69,10.900987482544046,1151.392555555555,,,120259.91999999998,0.9028394497518378
2025-01-01,44986.37999999999,13,313133.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,102,0,0.0,1.0,-44986.37999999999,,441.0429411764705,,,228835.32,0.3683787974688523
2025-02-01,32256.98,10,237336.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,112,1,0.008928571428571428,1.0,-32256.98,,288.00875,32256.980000000003,,313133.4,-0.24205951840333867
2025-03-01,44010.7,12,212240.04000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,121,3,0.024793388429752067,1.0,-44010.7,,363.7247933884297,14670.233333333332,,237336.48,-0.10574202499337637
2025-04-01,50230.42,20,329299.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,132,0,0.0,1.0,-50230.42,,380.5334848484848,,,212240.04000000004,0.5515447509338951
2025-05-01,19167.670000000002,8,81354.84000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,150,4,0.02666666666666667,1.0,-19167.670000000002,,127.78446666666667,4791.9175,,329299.92,-0.7529460681314468
2025-06-01,36184.19999999999,9,220836.36000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,157,1,0.006369426751592357,1.0,-36184.19999999999,,230.47261146496808,36184.19999999999,,81354.84000000001,1.7144833669392012
2025-07-01,22308.22000000001,9,110256.40000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,164,2,0.012195121951219513,1.0,-22308.22000000001,,136.02573170731714,11154.110000000004,,220836.36000000002,-0.5007325786387713
2025-08-01,35654.509999999995,11,96302.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,172,4,0.023255813953488372,1.0,-35654.509999999995,,207.29366279069765,8913.627499999999,,110256.40000000001,-0.12655519316792496
2025-09-01,23152.73,8,204683.28000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,181,2,0.011049723756906077,1.0,-23152.73,,127.91563535911602,11576.365,,96302.88,1.1254118256899484
2025-10-01,19224.56,10,114779.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,188,1,0.005319148936170213,1.0,-19224.56,,102.25829787234044,19224.56,,204683.28000000003,-0.43923529073796364
2025-11-01,27386.86,13,125167.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,195,0,0.0,1.0,-27386.86,,140.4454358974359,,,114779.16,0.09050562837365253
2025-12-01,23466.13,15,231084.59999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,207,4,0.01932367149758454,1.0,-23466.13,,113.36294685990339,5866.5325,,125167.32,0.8462055431082168
2026-01-01,23564.12,12,181436.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,218,0,0.0,1.0,-23564.12,,108.09229357798165,,,231084.59999999998,-0.21484651075839747
2026-02-01,32838.74,13,237984.96000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,223,1,0.004484304932735426,1.0,-32838.74,,147.25892376681614,32838.74,,181436.88,0.3116680577840625
2026-03-01,22070.779999999995,6,48813.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,232,2,0.008620689655172414,1.0,-22070.779999999995,,95.13267241379309,11035.389999999998,,237984.96000000002,-0.7948888870960585
2026-04-01,20609.27,3,14077.919999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,238,0,0.0,1.0,-20609.27,,86.59357142857144,,,48813.36,-0.7115969890210385
2026-05-01,15540.45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,4,0.016597510373443983,1.0,-15540.45,,64.48319502074689,3885.1125,,14077.919999999998,-1.0
2026-06-01,18682.839999999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,1,0.004149377593360996,1.0,-18682.839999999997,,77.52215767634853,18682.839999999997,,0.0,
2026-07-01,8796.029999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,2,0.008298755186721992,1.0,-8796.029999999999,,36.49804979253111,4398.014999999999,,0.0,
2026-08-01,12308.539999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,1,0.004149377593360996,1.0,-12308.539999999999,,51.07278008298755,12308.539999999999,,0.0,
2026-09-01,12078.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,1,0.004149377593360996,1.0,-12078.05,,50.11639004149377,12078.05,,0.0,
2026-10-01,12073.289999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,1,0.004149377593360996,1.0,-12073.289999999999,,50.096639004149374,12073.289999999999,,0.0,
2026-11-01,-1616.5900000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,2,0.008298755186721992,1.0,1616.5900000000001,0.0,-6.707842323651453,-808.2950000000001,,0.0,
2026-12-01,6610.959999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,2,0.008298755186721992,1.0,-6610.959999999999,,27.431369294605805,3305.4799999999996,,0.0,
2027-01-01,1883.79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,1,0.004149377593360996,1.0,-1883.79,,7.81655601659751,1883.79,,0.0,
2027-02-01,1265.6999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,0,0.0,1.0,-1265.6999999999998,,5.2518672199170116,,,0.0,
2027-03-01,2695.85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,2,0.008298755186721992,1.0,-2695.85,,11.186099585062241,1347.925,,0.0,
2027-04-01,294.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,241,2,0.008298755186721992,1.0,-294.95,,1.2238589211618256,147.475,,0.0,
