gl_txn_id,txn_date,period,account_code,account_name,account_category,department,cost_center,vendor_customer,amount,dr_cr,entity,memo
GL0000014,2023-01-18,2023-01-01,6100.0,sales and marketing,Sales & Marketing,Unknown,Unknown,"Castro, Mathis and Powell",10585.49,DR,SaaS US,Reclass
GL0000015,2023-01-18,2023-01-01,6300.0,general and administrative,G&A,Operations,CC100,Zuniga LLC,19961.78,DR,SaaS Canada,Refund
GL0000016,2023-01-07,2023-01-01,5000.0,cost of service,COGS,Engineering,Unknown,Hill Inc,9222.37,DR,SaaS HoldCo,Reclass
GL0000017,2023-01-01,2023-01-01,6100.0,sales and marketing,Sales & Marketing,Finance,Unknown,Baker-Durham,-23688.79,CR,SaaS HoldCo,Payroll
GL0000018,2023-01-02,2023-01-01,6200.0,r&d,R&D,Finance,CC200,Shelton Group,22803.12,DR,SaaS US,Payroll
GL0000019,2023-01-20,2023-01-01,6300.0,g&a,G&A,Unknown,CC100,"Wilson, Sawyer and Duke",12454.66,DR,SaaS US,Payroll
GL0000020,2023-01-27,2023-01-01,6300.0,general and administrative,G&A,Operations,CC300,"Galloway, Shaffer and Horton",20477.13,DR,SaaS HoldCo,Unknown
GL0000021,2023-01-01,2023-01-01,6300.0,g&a,G&A,Unknown,CC200,"Carroll, Morgan and Moore",19022.28,DR,SaaS US,Reclass
GL0000022,2023-01-01,2023-01-01,6200.0,research and development,R&D,Finance,CC100,"Gonzalez, Santiago and Silva",-14235.77,DR,SaaS US,AWS hosting
GL0000023,2023-01-12,2023-01-01,6300.0,g&a,G&A,Sales,Unknown,"Arroyo, Schneider and Montgomery",18709.84,DR,SaaS Canada,Unknown
GL0000024,2023-01-04,2023-01-01,5000.0,cost of service,COGS,Engineering,CC300,Watson LLC,13673.4,DR,SaaS US,Google Ads
GL0000025,2023-01-04,2023-01-01,6200.0,r&d,R&D,Finance,CC200,"Jackson, Jenkins and Torres",-24501.72,CR,SaaS US,Google Ads
GL0000026,2023-01-25,2023-01-01,5000.0,cost of service,COGS,Operations,CC100,Lambert-Watson,14755.07,DR,SaaS US,Google Ads
GL0000027,2023-01-26,2023-01-01,6200.0,research and development,R&D,Unknown,CC200,Rush Ltd,20973.42,DR,SaaS HoldCo,Payroll
GL0000028,2023-01-18,2023-01-01,6300.0,g&a,G&A,Operations,CC200,Moore Ltd,-7050.37,,SaaS US,Reclass
GL0000029,2023-01-15,2023-01-01,5000.0,cost of service,COGS,Unknown,CC200,Payne-Smith,15791.07,DR,SaaS US,Reclass
GL0000030,2023-01-20,2023-01-01,6200.0,research and development,R&D,Sales,Unknown,Chavez-Murray,1369.96,DR,SaaS US,Contractor costs
GL0000031,2023-01-06,2023-01-01,9999.0,misc expense,Other,Sales,CC300,"Howard, Carr and Herrera",19293.54,,SaaS US,Software tools
GL0000032,2023-01-18,2023-01-01,6200.0,r&d,R&D,Unknown,CC400,"Williams, Hall and Thompson",-17932.06,CR,SaaS US,Reclass
GL0000033,2023-01-22,2023-01-01,6200.0,research and development,R&D,Marketing,CC400,Petersen Group,7530.02,DR,SaaS US,Unknown
GL0000034,2023-01-02,2023-01-01,6200.0,r&d,R&D,Finance,Unknown,Elliott-Fisher,-13162.8,CR,SaaS Canada,Unknown
GL0000035,2023-01-14,2023-01-01,6200.0,r&d,R&D,Finance,CC300,Cole-Bell,22999.03,DR,SaaS US,Software tools
GL0000036,2023-01-15,2023-01-01,6100.0,s&m,Sales & Marketing,Unknown,Unknown,Jones-Manning,16717.73,DR,SaaS Canada,Unknown
GL0000037,2023-01-07,2023-01-01,6100.0,sales and marketing,Sales & Marketing,Unknown,Unknown,Jones-Webb,24749.56,DR,SaaS HoldCo,Reclass
GL0000038,2023-01-19,2023-01-01,6200.0,r&d,R&D,Finance,Unknown,"Coleman, Herman and Schneider",15497.73,DR,SaaS US,Reclass
GL0000039,2023-01-09,2023-01-01,6100.0,s&m,Sales & Marketing,Engineering,Unknown,"Phillips, Chapman and Brady",15786.37,DR,SaaS HoldCo,Contractor costs
GL0000040,2023-01-13,2023-01-01,6100.0,s&m,Sales & Marketing,Operations,Unknown,Jones LLC,-13889.91,CR,SaaS US,Refund
GL0000041,2023-01-24,2023-01-01,Unknown,cash,Cash,Unknown,CC400,Short and Sons,-3421.33,CR,SaaS US,Reclass
GL0000042,2023-01-09,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Engineering,Unknown,"Cervantes, Russell and Perez",-15714.93,CR,SaaS Canada,Contractor costs
GL0000043,2023-01-20,2023-01-01,6200.0,r&d,R&D,Unknown,Unknown,Marshall PLC,-17276.38,CR,SaaS Canada,Refund
GL0000044,2023-01-09,2023-01-01,6300.0,g&a,G&A,Operations,CC300,Taylor Ltd,-14143.14,CR,SaaS Canada,Contractor costs
GL0000045,2023-01-20,2023-01-01,6100.0,sales and marketing,Sales & Marketing,Engineering,Unknown,Cox Group,-20246.09,CR,SaaS US,Google Ads
GL0000046,2023-01-26,2023-01-01,6300.0,general and administrative,G&A,Marketing,CC100,"Evans, Russell and Meyer",17007.64,DR,SaaS Canada,Unknown
GL0000047,2023-01-03,2023-01-01,6200.0,r&d,R&D,Finance,CC400,Washington and Sons,-20239.79,CR,SaaS US,Google Ads
GL0000048,2023-01-27,2023-01-01,5000.0,cost of service,COGS,Unknown,Unknown,"Newton, Medina and Bates",-15372.02,CR,SaaS Canada,AWS hosting
GL0000049,2023-01-09,2023-01-01,6300.0,general and administrative,G&A,Unknown,CC200,Herman-Drake,2960.9,DR,SaaS US,Google Ads
GL0000050,2023-01-01,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Operations,Unknown,Castillo-Hull,8434.54,DR,SaaS Canada,Google Ads
GL0000051,2023-01-25,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Unknown,Unknown,Lucas-Wright,-13910.15,CR,SaaS Canada,Payroll
GL0000052,2023-01-13,2023-01-01,5000.0,cost of service,COGS,Marketing,CC200,Sherman-Barnes,7547.74,DR,SaaS US,Unknown
GL0000053,2023-01-01,2023-01-01,1010.0,cash,Cash,Marketing,CC300,"Lambert, Castillo and Hoffman",10470.52,DR,SaaS HoldCo,Contractor costs
GL0000054,2023-01-07,2023-01-01,1010.0,cash,Cash,Engineering,Unknown,Munoz-Roberts,6936.27,DR,SaaS Canada,Contractor costs
GL0000055,2023-01-21,2023-01-01,9999.0,misc expense,Other,Unknown,Unknown,"Mckay, Barrera and Shelton",19202.7,DR,SaaS US,Refund
GL0000056,2023-01-21,2023-01-01,5000.0,cost of service,COGS,Unknown,Unknown,Gibson-Daniel,19076.79,DR,SaaS US,Reclass
GL0000057,2023-01-22,2023-01-01,6200.0,research and development,R&D,Unknown,CC400,"Miles, Cruz and Fowler",-13510.5,CR,SaaS Canada,Software tools
GL0000058,2023-01-09,2023-01-01,1010.0,cash,Cash,Operations,CC400,Dawson-Schwartz,13358.74,DR,SaaS US,Google Ads
GL0000059,2023-01-10,2023-01-01,6100.0,sales and marketing,Sales & Marketing,Engineering,Unknown,Mcdonald-King,12717.79,DR,SaaS US,Unknown
GL0000060,2023-01-14,2023-01-01,9999.0,misc expense,Other,Unknown,Unknown,Townsend and Sons,11967.53,DR,SaaS HoldCo,Google Ads
GL0000061,2023-01-12,2023-01-01,6100.0,sales and marketing,Sales & Marketing,Sales,Unknown,"Cox, Hess and Brown",-2353.08,CR,SaaS US,AWS hosting
GL0000062,2023-01-17,2023-01-01,6300.0,g&a,G&A,Marketing,CC300,Thomas-Smith,13176.77,DR,SaaS US,Unknown
GL0000063,2023-01-02,2023-01-01,6200.0,r&d,R&D,Operations,CC300,"Thomas, Moreno and Young",5143.76,DR,SaaS US,Unknown
GL0000064,2023-01-17,2023-01-01,6200.0,r&d,R&D,Unknown,Unknown,Thornton-Lane,-14985.32,CR,SaaS US,AWS hosting
GL0000065,2023-01-05,2023-01-01,6300.0,g&a,G&A,Operations,CC400,Madden Group,4289.63,DR,SaaS HoldCo,Unknown
GL0000066,2023-01-05,2023-01-01,5000.0,cost of service,COGS,Finance,CC400,"Jones, Lee and Rodriguez",8809.37,DR,SaaS US,Software tools
GL0000067,2023-01-17,2023-01-01,5000.0,cost of service,COGS,Operations,Unknown,"Robbins, Hanna and Hughes",8423.03,DR,SaaS US,Contractor costs
GL0000068,2023-01-23,2023-01-01,5000.0,cost of service,COGS,Marketing,Unknown,Meyers LLC,5761.73,DR,SaaS US,Reclass
GL0000069,2023-01-14,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Marketing,CC400,Anderson-Hoover,1439.66,DR,SaaS HoldCo,AWS hosting
GL0000070,2023-01-01,2023-01-01,6200.0,research and development,R&D,Engineering,CC400,Brewer-Smith,-19997.77,,SaaS HoldCo,AWS hosting
GL0000071,2023-01-22,2023-01-01,6300.0,general and administrative,G&A,Operations,Unknown,"Galloway, Hall and Richardson",12360.3,DR,SaaS US,Refund
GL0000072,2023-01-17,2023-01-01,6100.0,s&m,Sales & Marketing,Engineering,CC400,Perez-Spencer,-7896.49,CR,SaaS Canada,Reclass
GL0000073,2023-01-23,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Unknown,CC400,Lynch-Conrad,-11247.19,CR,SaaS US,Software tools
GL0000074,2023-01-26,2023-01-01,1010.0,cash,Cash,Operations,CC300,Hood-Conley,4572.56,DR,SaaS US,Unknown
GL0000075,2023-01-19,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Unknown,CC200,"Kelley, Hinton and Harris",-16758.93,CR,SaaS US,AWS hosting
GL0000076,2023-01-01,2023-01-01,6100.0,sales & marketing,Sales & Marketing,Unknown,CC200,"Thomas, James and Simmons",4591.28,DR,SaaS Canada,AWS hosting
GL0000077,2023-01-06,2023-01-01,9999.0,misc expense,Other,Unknown,CC300,"Mueller, Goodwin and Cox",-10858.65,CR,SaaS HoldCo,Reclass
GL0000078,2023-01-08,2023-01-01,5000.0,cost of service,COGS,Operations,Unknown,Hernandez-Green,9021.91,,SaaS US,Reclass
GL0000079,2023-01-01,2023-01-01,6200.0,r&d,R&D,Finance,CC300,Dorsey LLC,11212.14,DR,SaaS HoldCo,Software tools
GL0000080,2023-01-02,2023-01-01,5000.0,cost of service,COGS,Unknown,CC400,Jones-Harris,14116.33,DR,SaaS HoldCo,Payroll
GL0000081,2023-01-17,2023-01-01,1010.0,cash,Cash,Marketing,CC200,Doyle Ltd,2924.98,DR,SaaS Canada,Unknown
GL0000082,2023-01-15,2023-01-01,9999.0,misc expense,Other,Operations,Unknown,Gomez-Mcgrath,-3566.21,CR,SaaS Canada,Reclass
GL0000083,2023-01-24,2023-01-01,1010.0,cash,Cash,Marketing,Unknown,Rodriguez-Oconnor,-21346.97,CR,SaaS US,Software tools
GL0000084,2023-01-03,2023-01-01,6300.0,g&a,G&A,Unknown,CC300,Galvan-Richards,24907.52,DR,SaaS Canada,Reclass
GL0000085,2023-01-12,2023-01-01,6200.0,research and development,R&D,Engineering,CC400,Hayes and Sons,-18078.59,CR,SaaS US,Unknown
GL0000086,2023-01-18,2023-01-01,5000.0,cost of service,COGS,Finance,Unknown,"Brown, Velazquez and Huffman",11850.45,DR,SaaS HoldCo,Refund
GL0000087,2023-01-12,2023-01-01,Unknown,cash,Cash,Unknown,CC400,"Rodgers, White and Campbell",-13724.65,CR,SaaS HoldCo,Google Ads
GL0000088,2023-01-13,2023-01-01,6100.0,s&m,Sales & Marketing,Unknown,Unknown,Roth-Martinez,-17692.11,CR,SaaS HoldCo,Google Ads
GL0000089,2023-01-09,2023-01-01,6200.0,r&d,R&D,Operations,Unknown,Gomez-Randall,17960.67,,SaaS Canada,Payroll
GL0000090,2023-01-07,2023-01-01,6200.0,r&d,R&D,Sales,CC100,Johnson Ltd,-15145.14,CR,SaaS Canada,Unknown
GL0000091,2023-02-25,2023-02-01,6100.0,s&m,Sales & Marketing,Sales,Unknown,West-English,-24574.35,CR,SaaS US,Software tools
GL0000092,2023-02-06,2023-02-01,6200.0,r&d,R&D,Marketing,CC100,Simpson-Williams,-3238.24,CR,SaaS US,Software tools
GL0000093,2023-02-03,2023-02-01,6100.0,sales and marketing,Sales & Marketing,Sales,CC200,"Whitehead, Hickman and Velasquez",-22808.63,CR,SaaS Canada,Software tools
GL0000094,2023-02-18,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Finance,CC200,Logan-Garrett,9794.96,DR,SaaS Canada,Payroll
GL0000095,2023-02-15,2023-02-01,6200.0,research and development,R&D,Engineering,CC400,Daniels LLC,-24532.97,,SaaS US,Contractor costs
GL0000096,2023-02-20,2023-02-01,6300.0,g&a,G&A,Unknown,CC200,Mann-Lewis,-16329.74,CR,SaaS US,Refund
GL0000097,2023-02-26,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Sales,CC200,"Riddle, Young and Brown",14174.53,DR,SaaS US,Refund
GL0000098,2023-02-16,2023-02-01,6200.0,r&d,R&D,Marketing,CC100,Clayton-Walls,3372.79,DR,SaaS US,Software tools
GL0000099,2023-02-01,2023-02-01,6300.0,g&a,G&A,Marketing,Unknown,Payne-Lewis,23885.73,DR,SaaS Canada,Contractor costs
GL0000100,2023-02-22,2023-02-01,1010.0,cash,Cash,Finance,CC400,"Cortez, Gregory and Moss",-23154.06,CR,SaaS US,Google Ads
GL0000101,2023-02-13,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Sales,CC200,Robertson Ltd,14857.83,DR,SaaS US,Reclass
GL0000102,2023-02-17,2023-02-01,6200.0,research and development,R&D,Sales,CC200,"Leonard, Murray and Boyd",-14451.36,CR,SaaS US,Contractor costs
GL0000103,2023-02-07,2023-02-01,5000.0,cost of service,COGS,Engineering,CC200,Johnson-Barnes,-7490.04,CR,SaaS US,Refund
GL0000104,2023-02-06,2023-02-01,9999.0,misc expense,Other,Finance,Unknown,Taylor Inc,9597.8,DR,SaaS HoldCo,Google Ads
GL0000105,2023-02-24,2023-02-01,6100.0,sales and marketing,Sales & Marketing,Operations,CC400,Cardenas Ltd,-22761.82,,SaaS US,Refund
GL0000106,2023-02-06,2023-02-01,6100.0,s&m,Sales & Marketing,Unknown,Unknown,"Farrell, Wood and Farrell",-19582.25,CR,SaaS HoldCo,Refund
GL0000107,2023-02-13,2023-02-01,1010.0,cash,Cash,Unknown,CC400,"Gray, Miller and Cole",3190.01,DR,SaaS US,Google Ads
GL0000108,2023-02-09,2023-02-01,6200.0,r&d,R&D,Unknown,CC400,Lara-Davis,16715.95,DR,SaaS Canada,Unknown
GL0000109,2023-02-08,2023-02-01,6200.0,r&d,R&D,Marketing,Unknown,"Sullivan, Bishop and Kim",-23197.18,CR,SaaS Canada,Software tools
GL0000110,2023-02-08,2023-02-01,6200.0,research and development,R&D,Sales,Unknown,"Aguilar, Ramirez and Palmer",9480.87,DR,SaaS Canada,Google Ads
GL0000111,2023-02-17,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Engineering,CC400,"Hughes, Murphy and Duarte",18441.77,,SaaS HoldCo,Reclass
GL0000112,2023-02-24,2023-02-01,6200.0,research and development,R&D,Unknown,CC400,"Wilcox, Munoz and Rodriguez",6795.14,DR,SaaS Canada,Unknown
GL0000113,2023-02-13,2023-02-01,6300.0,general and administrative,G&A,Marketing,CC200,Ramirez Group,14043.75,DR,SaaS HoldCo,Payroll
GL0000114,2023-02-24,2023-02-01,6200.0,r&d,R&D,Engineering,CC300,"Guzman, Lee and Clark",11421.68,DR,SaaS HoldCo,Software tools
GL0000115,2023-02-13,2023-02-01,6200.0,research and development,R&D,Operations,Unknown,"Russo, Foster and Novak",-9430.68,CR,SaaS US,Software tools
GL0000116,2023-02-06,2023-02-01,6200.0,research and development,R&D,Finance,Unknown,Mclaughlin-Turner,24675.69,DR,SaaS HoldCo,Unknown
GL0000117,2023-02-17,2023-02-01,Unknown,sales & marketing,Sales & Marketing,Sales,CC400,Li-Johnson,24191.64,DR,SaaS HoldCo,Reclass
GL0000118,2023-02-11,2023-02-01,1010.0,cash,Cash,Operations,CC400,Rodriguez and Sons,-6560.82,CR,SaaS HoldCo,AWS hosting
GL0000119,2023-02-27,2023-02-01,6300.0,g&a,G&A,Engineering,Unknown,"Smith, Malone and Hudson",16157.28,DR,SaaS HoldCo,Unknown
GL0000120,2023-02-24,2023-02-01,6100.0,s&m,Sales & Marketing,Finance,CC300,Rose Ltd,24566.03,DR,SaaS Canada,Reclass
GL0000121,2023-02-09,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Marketing,CC100,Brown Group,2119.26,DR,SaaS US,Payroll
GL0000122,2023-02-17,2023-02-01,5000.0,cost of service,COGS,Operations,CC300,Olson-Sampson,6638.3,DR,SaaS HoldCo,Unknown
GL0000123,2023-02-23,2023-02-01,5000.0,cost of service,COGS,Unknown,CC200,"Malone, Pearson and Neal",-7543.13,CR,SaaS US,Reclass
GL0000124,2023-02-08,2023-02-01,6200.0,r&d,R&D,Engineering,CC200,Melendez Group,9324.57,DR,SaaS US,Refund
GL0000125,2023-02-14,2023-02-01,6100.0,sales and marketing,Sales & Marketing,Finance,CC200,Jimenez-Stevens,17435.09,DR,SaaS HoldCo,Reclass
GL0000126,2023-02-18,2023-02-01,6300.0,general and administrative,G&A,Operations,Unknown,"Brown, Miller and Griffin",-11046.57,CR,SaaS US,Contractor costs
GL0000127,2023-02-14,2023-02-01,6300.0,g&a,G&A,Operations,CC300,"Dean, Johnson and Choi",15907.01,DR,SaaS Canada,Payroll
GL0000128,2023-02-26,2023-02-01,6100.0,sales and marketing,Sales & Marketing,Sales,CC200,Carter-Caldwell,3741.96,CR,SaaS HoldCo,AWS hosting
GL0000129,2023-02-22,2023-02-01,6300.0,general and administrative,G&A,Finance,Unknown,Wood Inc,-17271.88,CR,SaaS US,Refund
GL0000130,2023-02-21,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Unknown,CC200,"Kramer, Smith and Phillips",-4383.5,CR,SaaS Canada,AWS hosting
GL0000131,2023-02-10,2023-02-01,6200.0,r&d,R&D,Sales,CC200,"Coleman, Higgins and Roth",11495.1,DR,SaaS US,Payroll
GL0000132,2023-02-08,2023-02-01,6100.0,sales and marketing,Sales & Marketing,Unknown,Unknown,Long-Hall,14714.53,DR,SaaS US,Payroll
GL0000133,2023-02-16,2023-02-01,5000.0,cost of service,COGS,Marketing,Unknown,Moore-Singh,-5401.99,CR,SaaS US,AWS hosting
GL0000134,2023-02-08,2023-02-01,6200.0,research and development,R&D,Engineering,CC200,Bell-Jensen,2328.21,DR,SaaS US,Software tools
GL0000135,2023-02-21,2023-02-01,5000.0,cost of service,COGS,Unknown,CC100,"Park, Smith and Clark",17007.27,DR,SaaS HoldCo,Reclass
GL0000136,2023-02-05,2023-02-01,5000.0,cost of service,COGS,Marketing,CC200,Padilla-Gregory,21943.28,DR,SaaS US,Contractor costs
GL0000137,2023-02-13,2023-02-01,6300.0,general and administrative,G&A,Marketing,CC400,Adams-Ochoa,-4942.33,CR,SaaS HoldCo,Payroll
GL0000138,2023-02-02,2023-02-01,5000.0,cost of service,COGS,Engineering,Unknown,"Bender, Wagner and Robinson",-11989.83,CR,SaaS Canada,Payroll
GL0000139,2023-02-13,2023-02-01,1010.0,cash,Cash,Marketing,CC300,Torres-Chapman,-2907.32,CR,SaaS Canada,Payroll
GL0000140,2023-02-12,2023-02-01,6200.0,r&d,R&D,Marketing,CC100,Mckay LLC,-10708.46,CR,SaaS US,AWS hosting
GL0000141,2023-02-04,2023-02-01,1010.0,cash,Cash,Marketing,CC400,"Kelley, Nelson and Ruiz",10856.23,DR,SaaS US,AWS hosting
GL0000142,2023-02-26,2023-02-01,6200.0,r&d,R&D,Operations,CC100,Tran Ltd,22493.72,DR,SaaS Canada,Contractor costs
GL0000143,2023-02-09,2023-02-01,5000.0,cost of service,COGS,Unknown,Unknown,"Gray, Rodriguez and Thomas",-18430.88,CR,SaaS Canada,Google Ads
GL0000144,2023-02-12,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Unknown,Unknown,"Hodge, Stanley and Padilla",18152.24,DR,SaaS Canada,Unknown
GL0000145,2023-02-14,2023-02-01,6300.0,g&a,G&A,Engineering,CC200,Bolton LLC,22667.85,DR,SaaS Canada,AWS hosting
GL0000146,2023-02-08,2023-02-01,6100.0,sales and marketing,Sales & Marketing,Operations,CC200,"Ortiz, Clark and Baldwin",18508.24,DR,SaaS Canada,Payroll
GL0000147,2023-02-11,2023-02-01,6100.0,s&m,Sales & Marketing,Unknown,CC200,Hartman-Collins,16541.98,DR,SaaS US,Google Ads
GL0000148,2023-02-05,2023-02-01,6300.0,general and administrative,G&A,Unknown,Unknown,Gonzalez LLC,24773.57,DR,SaaS US,AWS hosting
GL0000149,2023-02-14,2023-02-01,5000.0,cost of service,COGS,Unknown,CC400,Evans-Ortega,-13717.58,CR,SaaS Canada,Unknown
GL0000150,2023-02-06,2023-02-01,5000.0,cost of service,COGS,Unknown,CC300,Ford Group,1642.49,DR,SaaS Canada,Google Ads
GL0000151,2023-02-22,2023-02-01,5000.0,cost of service,COGS,Sales,Unknown,Lewis Ltd,-24796.18,CR,SaaS US,AWS hosting
GL0000152,2023-02-06,2023-02-01,6100.0,s&m,Sales & Marketing,Operations,CC300,Conway-Thomas,21917.94,DR,SaaS US,AWS hosting
GL0000153,2023-02-02,2023-02-01,6300.0,general and administrative,G&A,Engineering,CC400,Hill-Saunders,-1776.29,CR,SaaS US,Refund
GL0000154,2023-02-23,2023-02-01,5000.0,cost of service,COGS,Unknown,CC300,Martin-Martinez,21511.27,DR,SaaS US,AWS hosting
GL0000155,2023-02-10,2023-02-01,1010.0,cash,Cash,Marketing,Unknown,Hernandez-Bridges,24371.24,DR,SaaS US,Google Ads
GL0000156,2023-02-13,2023-02-01,1010.0,cash,Cash,Sales,CC400,Smith Group,21983.13,DR,SaaS HoldCo,Reclass
GL0000157,2023-02-07,2023-02-01,6100.0,s&m,Sales & Marketing,Sales,Unknown,Campbell-Moyer,21755.29,DR,SaaS Canada,Google Ads
GL0000158,2023-02-16,2023-02-01,5000.0,cost of service,COGS,Engineering,Unknown,King PLC,-16881.3,CR,SaaS US,Contractor costs
GL0000159,2023-02-27,2023-02-01,5000.0,cost of service,COGS,Finance,Unknown,"Weiss, Moon and Taylor",17899.71,DR,SaaS US,Unknown
GL0000160,2023-02-26,2023-02-01,1010.0,cash,Cash,Unknown,CC100,Price-Nichols,2533.02,DR,SaaS US,Unknown
GL0000161,2023-02-23,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Engineering,CC400,Baxter-Price,23555.64,DR,SaaS US,Unknown
GL0000162,2023-02-15,2023-02-01,6100.0,sales and marketing,Sales & Marketing,Finance,CC200,Bryan-Sanchez,24884.12,DR,SaaS Canada,AWS hosting
GL0000163,2023-02-23,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Engineering,Unknown,"Cordova, Matthews and Meadows",-23660.18,DR,SaaS US,Reclass
GL0000164,2023-02-04,2023-02-01,5000.0,cost of service,COGS,Marketing,CC300,"Rodriguez, Brown and Duncan",11965.47,DR,SaaS HoldCo,Unknown
GL0000165,2023-02-15,2023-02-01,6300.0,general and administrative,G&A,Operations,CC300,Woodward-Kim,12339.05,CR,SaaS US,AWS hosting
GL0000166,2023-02-21,2023-02-01,9999.0,misc expense,Other,Operations,CC400,Combs and Sons,-14376.28,CR,SaaS US,AWS hosting
GL0000167,2023-02-27,2023-02-01,6100.0,s&m,Sales & Marketing,Finance,Unknown,Roman Group,1426.84,DR,SaaS US,Unknown
GL0000168,2023-02-08,2023-02-01,1010.0,cash,Cash,Engineering,Unknown,Payne PLC,15623.49,DR,SaaS US,Reclass
GL0000169,2023-02-11,2023-02-01,6300.0,general and administrative,G&A,Operations,CC300,Powers and Sons,-14038.67,CR,SaaS US,Refund
GL0000170,2023-02-12,2023-02-01,9999.0,misc expense,Other,Marketing,CC100,Anderson-Walker,10152.09,DR,SaaS US,Unknown
GL0000171,2023-02-04,2023-02-01,6100.0,s&m,Sales & Marketing,Finance,Unknown,Powers-Davis,-1034.04,CR,SaaS US,Google Ads
GL0000172,2023-02-10,2023-02-01,9999.0,misc expense,Other,Engineering,CC400,Hansen LLC,-6282.28,DR,SaaS US,AWS hosting
GL0000173,2023-02-03,2023-02-01,6100.0,s&m,Sales & Marketing,Marketing,CC400,Lyons-King,-21677.54,DR,SaaS Canada,Payroll
GL0000174,2023-02-02,2023-02-01,6300.0,g&a,G&A,Marketing,Unknown,Preston-Atkinson,-22247.18,CR,SaaS US,Payroll
GL0000175,2023-02-15,2023-02-01,6300.0,general and administrative,G&A,Finance,CC100,Rodriguez-Martinez,1015.35,DR,SaaS Canada,Refund
GL0000176,2023-02-05,2023-02-01,1010.0,cash,Cash,Unknown,CC400,Leon LLC,-12342.72,CR,SaaS US,AWS hosting
GL0000177,2023-02-15,2023-02-01,9999.0,misc expense,Other,Sales,Unknown,Charles Ltd,12985.71,DR,SaaS Canada,Reclass
GL0000178,2023-02-08,2023-02-01,6100.0,sales & marketing,Sales & Marketing,Finance,CC200,Cabrera-Rios,8465.09,DR,SaaS US,Payroll
GL0000179,2023-02-04,2023-02-01,5000.0,cost of service,COGS,Unknown,Unknown,Copeland-Collins,18954.65,DR,SaaS Canada,Refund
GL0000180,2023-02-03,2023-02-01,6300.0,g&a,G&A,Marketing,Unknown,Cole and Sons,9165.41,DR,SaaS US,Reclass
GL0000181,2023-03-05,2023-03-01,6300.0,general and administrative,G&A,Unknown,CC200,"Fritz, Garcia and Robinson",21908.09,DR,SaaS US,Unknown
GL0000182,2023-03-02,2023-03-01,6300.0,general and administrative,G&A,Sales,CC300,Martin PLC,4137.29,DR,SaaS US,Payroll
GL0000183,2023-03-01,2023-03-01,5000.0,cost of service,COGS,Sales,CC200,"Rivera, Collins and Larson",-3299.33,CR,SaaS US,Payroll
